"",BBSF2.M.1.S.I0000.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:51:58,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,858,
1993-05,867,
1993-06,870,
1993-07,933,
1993-08,979,
1993-09,999,
1993-10,996,
1993-11,1007,
1993-12,1028,
1994-01,1055,
1994-02,1061,
1994-03,1055,
1994-04,1059,
1994-05,1072,
1994-06,1076,
1994-07,1095,
1994-08,1124,
1994-09,1137,
1994-10,1142,
1994-11,1134,
1994-12,1133,
1995-01,1143,
1995-02,1166,
1995-03,1181,
1995-04,1190,
1995-05,1215,
1995-06,1237,
1995-07,1244,
1995-08,1287,
1995-09,1302,
1995-10,1313,
1995-11,1313,
1995-12,1350,
1996-01,1372,
1996-02,1380,
1996-03,1372,
1996-04,1385,
1996-05,1429,
1996-06,1440,
1996-07,1445,
1996-08,1450,
1996-09,1465,
1996-10,1479,
1996-11,1475,
1996-12,1465,
1997-01,1470,
1997-02,1484,
1997-03,1476,
1997-04,1514,
1997-05,1507,
1997-06,1594,
1997-07,1608,
1997-08,1620,
1997-09,1639,
1997-10,1660,
1997-11,1655,
1997-12,1707,
1998-01,1908,
1998-02,1922,
1998-03,1924,
1998-04,2014,
1998-05,2032,
1998-06,2095,
1998-07,2108,
1998-08,2107,
1998-09,2141,
1998-10,2155,
1998-11,2178,
1998-12,2365,
1999-01,2481,
1999-02,2498,
1999-03,2495,
1999-04,2537,
1999-05,2580,
1999-06,2596,
1999-07,2716,
1999-08,2747,
1999-09,3047,
1999-10,3295,
1999-11,3452,
1999-12,3739,
2000-01,3847,
2000-02,3828,
2000-03,3858,
2000-04,4178,
2000-05,4432,
2000-06,4488,
2000-07,4638,
2000-08,4686,
2000-09,4722,
2000-10,4893,
2000-11,5101,
2000-12,5295,
2001-01,5440,
2001-02,5560,
2001-03,5558,
2001-04,5783,
2001-05,5883,
2001-06,5972,
2001-07,6072,
2001-08,6252,
2001-09,6424,
2001-10,6543,
2001-11,6824,
2001-12,7338,
2002-01,7495,
2002-02,7676,
2002-03,7828,
2002-04,7901,
2002-05,8089,
2002-06,8186,
2002-07,8462,
2002-08,8901,
2002-09,9126,
2002-10,9260,
2002-11,9406,
2002-12,10148,
2003-01,10292,
2003-02,10333,
2003-03,10417,
2003-04,10556,
2003-05,10699,
2003-06,11031,
2003-07,11084,
2003-08,11172,
2003-09,11322,
2003-10,11408,
2003-11,11459,
2003-12,11850,
2004-01,11968,
2004-02,12018,
2004-03,12125,
2004-04,12179,
2004-05,12158,
2004-06,12295,
2004-07,12516,
2004-08,12592,
2004-09,12658,
2004-10,12714,
2004-11,12830,
2004-12,13349,
2005-01,13432,
2005-02,13501,
2005-03,14118,
2005-04,14553,
2005-05,14846,
2005-06,15115,
2005-07,15148,
2005-08,15249,
2005-09,15474,
2005-10,15560,
2005-11,15611,
2005-12,15877,
2006-01,16026,
2006-02,16155,
2006-03,16288,
2006-04,16318,
2006-05,17797,
2006-06,17915,
2006-07,18111,
2006-08,18199,
2006-09,18468,
2006-10,18545,
2006-11,18711,
2006-12,18759,
2007-01,18875,
2007-02,18911,
2007-03,18611,
2007-04,18648,
2007-05,18743,
2007-06,18823,
2007-07,19875,
2007-08,19896,
2007-09,19924,
2007-10,20021,
2007-11,20325,
2007-12,20307,
2008-01,20426,
2008-02,20599,
2008-03,20101,
2008-04,20207,
2008-05,20422,
2008-06,20727,
2008-07,20941,
2008-08,21211,
2008-09,21451,
2008-10,21668,
2008-11,22366,
2008-12,22226,
2009-01,22377,
2009-02,22987,
2009-03,23098,
2009-04,23200,
2009-05,23603,
2009-06,23802,
2009-07,23930,
2009-08,24238,
2009-09,24209,
2009-10,25622,
2009-11,26170,
2009-12,26223,
2010-01,26611,
2010-02,26648,
2010-03,26712,
2010-04,26668,
2010-05,26786,
2010-06,26845,
2010-07,27029,
2010-08,27192,
2010-09,27300,
2010-10,27833,
2010-11,28173,
2010-12,28315,
2011-01,28436,
2011-02,28723,
2011-03,28945,
2011-04,29057,
2011-05,29198,
2011-06,29297,
2011-07,29520,
2011-08,29694,
2011-09,28362,
2011-10,28982,
2011-11,29262,
2011-12,29544,
2012-01,29838,
2012-02,29885,
2012-03,30307,
2012-04,30419,
2012-05,30697,
2012-06,31044,
2012-07,31313,
2012-08,31796,
2012-09,32215,
2012-10,32599,
2012-11,32720,
2012-12,33589,
2013-01,34148,
2013-02,34775,
2013-03,35447,
2013-04,35967,
2013-05,35904,
2013-06,36410,
2013-07,36768,
2013-08,37404,
2013-09,37649,
2013-10,38034,
2013-11,39195,
2013-12,39746,
2014-01,40258,
2014-02,40998,
2014-03,41961,
2014-04,42074,
2014-05,42444,
2014-06,43355,
2014-07,44079,
2014-08,44427,
2014-09,44871,
2014-10,45400,
2014-11,46437,
