"",BBK01.OEAA28L,BBK01.OEAA28L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:26,
2002-01,0.051,
2002-04,0.049,
2002-07,0.050,
2002-10,0.044,
2003-01,0.047,
2003-04,0.040,
2003-07,0.035,
2003-10,0.047,
2004-01,0.043,
2004-04,0.033,
2004-07,0.035,
2004-10,0.040,
2005-01,0.042,
2005-04,0.027,
2005-07,0.026,
2005-10,0.026,
2006-01,0.026,
2006-04,0.047,
2006-07,0.047,
2006-10,0.025,
2007-01,0.029,
2007-04,0.023,
2007-07,0.018,
2007-10,0.018,
2008-01,0.017,
2008-04,0.017,
2008-07,0.016,
2008-10,0.015,
2009-01,0.014,
2009-04,0.016,
2009-07,0.015,
2009-10,0.018,
2010-01,0.013,
2010-04,0.013,
2010-07,0.010,
2010-10,0.014,
2011-01,0.014,
2011-04,0.010,
2011-07,0.009,
2011-10,0.009,
2012-01,0.010,
2012-04,0.011,
2012-07,0.009,
2012-10,0.011,
2013-01,0.010,
2013-04,0.009,
2013-07,0.008,
2013-10,0.011,
2014-01,0.008,
2014-04,0.010,
2014-07,0.003,
