"",BBK01.OELI07U,BBK01.OELI07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:09,
2002-01,1.886,
2002-04,1.859,
2002-07,1.873,
2002-10,1.931,
2003-01,1.947,
2003-04,1.934,
2003-07,1.952,
2003-10,1.972,
2004-01,1.990,
2004-04,1.954,
2004-07,1.962,
2004-10,2.048,
2005-01,2.057,
2005-04,2.036,
2005-07,2.032,
2005-10,2.045,
2006-01,2.056,
2006-04,2.032,
2006-07,2.022,
2006-10,1.977,
2007-01,1.946,
2007-04,1.921,
2007-07,1.904,
2007-10,1.891,
2008-01,1.878,
2008-04,1.832,
2008-07,1.781,
2008-10,1.784,
2009-01,1.817,
2009-04,1.826,
2009-07,1.879,
2009-10,1.978,
2010-01,2.011,
2010-04,2.033,
2010-07,2.029,
2010-10,2.034,
2011-01,2.018,
2011-04,1.994,
2011-07,1.986,
2011-10,1.999,
2012-01,2.014,
2012-04,2.041,
2012-07,2.078,
2012-10,2.110,
2013-01,2.167,
2013-04,2.166,
2013-07,2.161,
2013-10,2.149,
2014-01,2.131,
2014-04,2.118,
2014-07,2.107,
