"",BBK01.OEAF08U,BBK01.OEAF08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:18,
2002-01,0.151,
2002-04,0.151,
2002-07,0.159,
2002-10,0.163,
2003-01,0.159,
2003-04,0.160,
2003-07,0.154,
2003-10,0.133,
2004-01,0.130,
2004-04,0.123,
2004-07,0.126,
2004-10,0.123,
2005-01,0.128,
2005-04,0.137,
2005-07,0.143,
2005-10,0.128,
2006-01,0.128,
2006-04,0.119,
2006-07,0.119,
2006-10,0.121,
2007-01,0.118,
2007-04,0.116,
2007-07,0.117,
2007-10,0.107,
2008-01,0.101,
2008-04,0.102,
2008-07,0.099,
2008-10,0.098,
2009-01,0.099,
2009-04,0.100,
2009-07,0.100,
2009-10,0.098,
2010-01,0.105,
2010-04,0.114,
2010-07,0.119,
2010-10,0.116,
2011-01,0.156,
2011-04,0.158,
2011-07,0.151,
2011-10,0.148,
2012-01,0.148,
2012-04,0.140,
2012-07,0.147,
2012-10,0.149,
2013-01,0.202,
2013-04,0.207,
2013-07,0.208,
2013-10,0.208,
2014-01,0.213,
2014-04,0.214,
2014-07,0.157,
