"",BBDE1.M.DE.W.AEB1.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEB1.A2P300000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Industry / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:08,
1991-01,90.5,
1991-02,87.4,
1991-03,97.8,
1991-04,83.8,
1991-05,81.6,
1991-06,85.5,
1991-07,81.4,
1991-08,80.7,
1991-09,87.3,
1991-10,86.1,
1991-11,87.6,
1991-12,79.4,
1992-01,88.4,
1992-02,89.4,
1992-03,96.5,
1992-04,84.0,
1992-05,81.0,
1992-06,81.3,
1992-07,78.4,
1992-08,75.0,
1992-09,85.6,
1992-10,78.6,
1992-11,76.3,
1992-12,73.2,
1993-01,77.2,
1993-02,73.9,
1993-03,79.3,
1993-04,70.0,
1993-05,70.2,
1993-06,71.4,
1993-07,72.7,
1993-08,68.3,
1993-09,79.8,
1993-10,75.1,
1993-11,74.2,
1993-12,70.7,
1994-01,72.5,
1994-02,75.8,
1994-03,83.9,
1994-04,75.5,
1994-05,73.5,
1994-06,77.1,
1994-07,77.6,
1994-08,72.8,
1994-09,83.5,
1994-10,81.8,
1994-11,81.7,
1994-12,78.9,
1995-01,78.9,
1995-02,81.0,
1995-03,89.1,
1995-04,80.1,
1995-05,80.7,
1995-06,79.5,
1995-07,81.7,
1995-08,73.6,
1995-09,84.6,
1995-10,77.9,
1995-11,81.3,
1995-12,73.5,
1996-01,76.8,
1996-02,74.8,
1996-03,85.5,
1996-04,76.3,
1996-05,74.2,
1996-06,81.6,
1996-07,77.6,
1996-08,73.0,
1996-09,81.3,
1996-10,79.0,
1996-11,78.5,
1996-12,72.1,
1997-01,75.9,
1997-02,77.2,
1997-03,88.0,
1997-04,78.6,
1997-05,78.0,
1997-06,81.2,
1997-07,81.1,
1997-08,75.3,
1997-09,84.4,
1997-10,82.8,
1997-11,83.8,
1997-12,76.2,
1998-01,84.1,
1998-02,84.4,
1998-03,93.9,
1998-04,83.7,
1998-05,82.5,
1998-06,84.7,
1998-07,85.8,
1998-08,78.0,
1998-09,87.3,
1998-10,82.4,
1998-11,82.6,
1998-12,74.2,
1999-01,81.0,
1999-02,79.4,
1999-03,88.1,
1999-04,79.5,
1999-05,79.3,
1999-06,84.3,
1999-07,84.5,
1999-08,80.7,
1999-09,87.8,
1999-10,87.9,
1999-11,88.6,
1999-12,80.0,
2000-01,83.8,
2000-02,88.8,
2000-03,96.4,
2000-04,92.2,
2000-05,90.1,
2000-06,93.9,
2000-07,94.1,
2000-08,87.5,
2000-09,95.4,
2000-10,93.3,
2000-11,94.7,
2000-12,86.5,
2001-01,91.1,
2001-02,92.7,
2001-03,101.3,
2001-04,89.4,
2001-05,87.6,
2001-06,89.7,
2001-07,90.0,
2001-08,85.4,
2001-09,90.4,
2001-10,86.9,
2001-11,86.2,
2001-12,82.5,
2002-01,85.8,
2002-02,85.1,
2002-03,92.9,
2002-04,86.4,
2002-05,83.4,
2002-06,88.2,
2002-07,88.4,
2002-08,83.1,
2002-09,90.2,
2002-10,89.4,
2002-11,89.1,
2002-12,81.7,
2003-01,86.6,
2003-02,89.5,
2003-03,92.9,
2003-04,85.9,
2003-05,84.0,
2003-06,87.7,
2003-07,87.4,
2003-08,80.1,
2003-09,90.1,
2003-10,90.7,
2003-11,91.7,
2003-12,83.3,
2004-01,88.0,
2004-02,90.6,
2004-03,98.8,
2004-04,91.3,
2004-05,88.3,
2004-06,91.6,
2004-07,93.0,
2004-08,85.8,
2004-09,92.8,
2004-10,95.5,
2004-11,93.2,
2004-12,92.3,
2005-01,92.0,
2005-02,91.0,
2005-03,100.8,
2005-04,91.4,
2005-05,89.9,
2005-06,97.1,
2005-07,96.6,
2005-08,89.7,
2005-09,98.2,
2005-10,99.8,
2005-11,101.1,
2005-12,90.9,
2006-01,97.3,
2006-02,98.5,
2006-03,107.2,
2006-04,100.3,
2006-05,102.0,
2006-06,103.5,
2006-07,104.8,
2006-08,101.3,
2006-09,111.8,
2006-10,109.0,
2006-11,110.4,
2006-12,99.3,
2007-01,108.6,
2007-02,109.3,
2007-03,120.8,
2007-04,109.6,
2007-05,111.4,
2007-06,117.0,
2007-07,114.1,
2007-08,105.4,
2007-09,112.7,
2007-10,116.4,
2007-11,122.1,
2007-12,109.1,
2008-01,113.8,
2008-02,114.2,
2008-03,124.3,
2008-04,115.0,
2008-05,110.9,
2008-06,113.9,
2008-07,111.6,
2008-08,106.6,
2008-09,109.3,
2008-10,101.6,
2008-11,92.4,
2008-12,78.8,
2009-01,81.8,
2009-02,76.8,
2009-03,85.8,
2009-04,77.5,
2009-05,80.2,
2009-06,83.4,
2009-07,89.6,
2009-08,82.7,
2009-09,88.6,
2009-10,88.2,
2009-11,90.5,
2009-12,80.5,
2010-01,91.2,
2010-02,90.3,
2010-03,104.2,
2010-04,99.1,
2010-05,98.0,
2010-06,102.8,
2010-07,102.1,
2010-08,95.2,
2010-09,103.3,
2010-10,105.0,
2010-11,108.0,
2010-12,94.7,
2011-01,109.0,
2011-02,110.6,
2011-03,117.7,
2011-04,109.3,
2011-05,120.5,
2011-06,110.6,
2011-07,114.3,
2011-08,103.9,
2011-09,108.0,
2011-10,107.9,
2011-11,109.1,
2011-12,96.1,
2012-01,105.8,
2012-02,104.6,
2012-03,116.4,
2012-04,106.3,
2012-05,104.8,
2012-06,105.3,
2012-07,105.7,
2012-08,96.4,
2012-09,102.3,
2012-10,103.2,
2012-11,104.1,
2012-12,92.5,
2013-01,102.8,
2013-02,103.6,
2013-03,115.5,
2013-04,102.6,
2013-05,100.1,
2013-06,106.5,
2013-07,106.6,
2013-08,100.1,
2013-09,106.0,
2013-10,105.4,
