"",BBSF2.M.1.S.I0122.GEF01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEF01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:45,
2004-01,19,
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,46,
2004-05,-,Nothing exists
2004-06,25,
2004-07,10,
2004-08,-,Nothing exists
2004-09,33,
2004-10,5,
2004-11,-,Nothing exists
2004-12,51,
2005-01,55,
2005-02,238,
2005-03,-15,
2005-04,-139,
2005-05,55,
2005-06,139,
2005-07,-22,
2005-08,140,
2005-09,182,
2005-10,-46,
2005-11,-263,
2005-12,1015,
2006-01,210,
2006-02,-23,
2006-03,66,
2006-04,1315,
2006-05,799,
2006-06,71,
2006-07,-224,
2006-08,-70,
2006-09,116,
2006-10,-338,
2006-11,-130,
2006-12,-41,
2007-01,-714,
2007-02,-239,
2007-03,-91,
2007-04,-4,
2007-05,1906,
2007-06,123,
2007-07,89,
2007-08,11,
2007-09,-563,
2007-10,-1067,
2007-11,-1445,
2007-12,-536,
2008-01,-45,
2008-02,-269,
2008-03,-747,
2008-04,-146,
2008-05,-148,
2008-06,-540,
2008-07,9438,
2008-08,-104,
2008-09,29,
2008-10,-137,
2008-11,-397,
2008-12,-598,
2009-01,2,
2009-02,-348,
2009-03,-694,
2009-04,-308,
2009-05,1040,
2009-06,-861,
2009-07,312,
2009-08,424,
2009-09,-314,
2009-10,-311,
2009-11,205,
2009-12,141,
2010-01,-77,
2010-02,114,
2010-03,-2911,
2010-04,-12,
2010-05,-184,
2010-06,-797,
2010-07,56,
2010-08,88,
2010-09,6,
2010-10,-526,
2010-11,-62,
2010-12,-11,
2011-01,160,
2011-02,89,
2011-03,60,
2011-04,-27,
2011-05,-24,
2011-06,-140,
2011-07,-12,
2011-08,-,Nothing exists
2011-09,-26,
2011-10,-282,
2011-11,-514,
2011-12,-613,
2012-01,-24,
2012-02,-32,
2012-03,-102,
2012-04,-22,
2012-05,78,
2012-06,-19,
2012-07,-118,
2012-08,-271,
2012-09,190,
2012-10,359,
2012-11,-386,
2012-12,-313,
2013-01,36,
2013-02,-1805,
2013-03,-1499,
2013-04,41,
2013-05,-24,
2013-06,-30,
2013-07,158,
2013-08,-159,
2013-09,8,
2013-10,-48,
2013-11,-175,
2013-12,75,
2014-01,17,
2014-02,-101,
2014-03,194,
2014-04,34,
2014-05,7,
2014-06,-42,
2014-07,3,
2014-08,62,
2014-09,108,
2014-10,8,
2014-11,424,
