"",BBFB1.Q.N.DE.JP.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:08,
1991-01,44.520,
1991-04,64.953,
1991-07,51.328,
1991-10,47.880,
1992-01,61.829,
1992-04,73.868,
1992-07,72.036,
1992-10,75.488,
1993-01,376.231,
1993-04,406.212,
1993-07,412.593,
1993-10,410.347,
1994-01,331.717,
1994-04,347.864,
1994-07,341.470,
1994-10,330.872,
1995-01,526.445,
1995-04,539.632,
1995-07,532.570,
1995-10,535.652,
1996-01,231.567,
1996-04,251.426,
1996-07,246.538,
1996-10,254.953,
1997-01,136.757,
1997-04,137.468,
1997-07,141.610,
1997-10,129.489,
1998-01,288.554,
1998-04,317.299,
1998-07,314.507,
1998-10,339.985,
1999-01,377.879,
1999-04,412.330,
1999-07,418.470,
1999-10,427.468,
2000-01,45.972,
2000-04,50.679,
2000-07,34.588,
2000-10,28.864,
2001-01,231.407,
2001-04,266.939,
2001-07,265.438,
2001-10,269.132,
2002-01,131.595,
2002-04,113.197,
2002-07,132.008,
2002-10,138.244,
2003-01,213.756,
2003-04,217.297,
2003-07,210.164,
2003-10,189.270,
2004-01,117.933,
2004-04,102.007,
2004-07,88.156,
2004-10,96.557,
2005-01,55.634,
2005-04,42.280,
2005-07,41.150,
2005-10,576.626,
2006-01,661.792,
2006-04,633.340,
2006-07,610.573,
2006-10,594.703,
2007-01,370.729,
2007-04,372.791,
2007-07,355.362,
2007-10,369.956,
2008-01,495.906,
2008-04,487.332,
2008-07,477.089,
2008-10,475.208,
2009-01,587.196,
2009-04,579.843,
2009-07,551.021,
2009-10,609.359,
2010-01,762.664,
2010-04,797.790,
2010-07,849.913,
2010-10,906.202,
2011-01,293.490,
2011-04,324.307,
2011-07,315.103,
2011-10,295.705,
2012-01,122.630,
2012-04,157.835,
2012-07,119.516,
2012-10,92.446,
2013-01,934.425,
2013-04,935.220,
2013-07,965.076,
2013-10,1063.548,
2014-01,447.047,Provisional value
2014-04,512.955,Provisional value
2014-07,489.183,Provisional value
