"",BBK01.CEL50C,BBK01.CEL50C_FLAGS
"",Equity and investment fund shares                                                     debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:12,
1999-01,-2.4,
1999-04,6.8,
1999-07,-0.4,
1999-10,-11.5,
2000-01,-3.4,
2000-04,-2.5,
2000-07,-1.6,
2000-10,1.9,
2001-01,-0.9,
2001-04,-1.0,
2001-07,-3.6,
2001-10,-2.7,
2002-01,-1.6,
2002-04,0.6,
2002-07,-5.1,
2002-10,-3.5,
2003-01,2.7,
2003-04,8.4,
2003-07,2.2,
2003-10,-10.3,
2004-01,-1.2,
2004-04,-0.5,
2004-07,-2.2,
2004-10,-4.1,
2005-01,3.9,
2005-04,1.5,
2005-07,-2.2,
2005-10,-1.5,
2006-01,-1.3,
2006-04,-2.0,
2006-07,-1.8,
2006-10,0.7,
2007-01,0.4,
2007-04,0.5,
2007-07,2.0,
2007-10,-4.9,
2008-01,1.0,
2008-04,1.6,
2008-07,2.5,
2008-10,7.8,
2009-01,8.9,
2009-04,15.1,
2009-07,3.8,
2009-10,5.7,
2010-01,3.1,
2010-04,3.6,
2010-07,1.1,
2010-10,0.7,
2011-01,5.7,
2011-04,-9.6,
2011-07,1.8,
2011-10,-0.1,
2012-01,2.6,
2012-04,2.2,
2012-07,1.9,
2012-10,13.0,
2013-01,2.0,
2013-04,5.4,
2013-07,3.5,
2013-10,5.6,
2014-01,0.4,
2014-04,6.3,
2014-07,0.0,
