"",BBK01.CELFN5,BBK01.CELFN5_FLAGS
"",long-term loans debtor: Rest of the world                   creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:21,
1999-01,0.4,
1999-04,0.4,
1999-07,0.5,
1999-10,0.0,
2000-01,-1.3,
2000-04,1.4,
2000-07,0.5,
2000-10,1.6,
2001-01,0.7,
2001-04,0.7,
2001-07,1.5,
2001-10,1.6,
2002-01,0.8,
2002-04,0.4,
2002-07,-0.8,
2002-10,1.7,
2003-01,4.5,
2003-04,-1.1,
2003-07,-0.5,
2003-10,-0.8,
2004-01,0.9,
2004-04,1.0,
2004-07,1.4,
2004-10,-1.1,
2005-01,0.6,
2005-04,2.5,
2005-07,-1.1,
2005-10,-1.2,
2006-01,1.0,
2006-04,1.4,
2006-07,-1.4,
2006-10,1.6,
2007-01,1.6,
2007-04,4.2,
2007-07,2.5,
2007-10,-8.5,
2008-01,0.2,
2008-04,2.2,
2008-07,2.6,
2008-10,-0.5,
2009-01,2.8,
2009-04,2.1,
2009-07,2.5,
2009-10,4.4,
2010-01,2.4,
2010-04,1.8,
2010-07,0.4,
2010-10,1.0,
2011-01,1.1,
2011-04,0.3,
2011-07,1.1,
2011-10,2.6,
2012-01,3.0,
2012-04,1.8,
2012-07,4.1,
2012-10,2.3,
2013-01,7.1,
2013-04,4.4,
2013-07,0.8,
2013-10,3.9,
2014-01,2.9,
2014-04,-0.4,
2014-07,2.0,
