"",BBK01.OEAD25G,BBK01.OEAD25G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:35,
2002-01,0.681,
2002-04,0.710,
2002-07,0.705,
2002-10,0.704,
2003-01,0.691,
2003-04,0.699,
2003-07,0.696,
2003-10,0.699,
2004-01,0.696,
2004-04,0.713,
2004-07,0.693,
2004-10,0.729,
2005-01,0.726,
2005-04,0.741,
2005-07,0.739,
2005-10,0.798,
2006-01,0.790,
2006-04,0.801,
2006-07,0.792,
2006-10,0.745,
2007-01,0.734,
2007-04,0.758,
2007-07,0.780,
2007-10,0.876,
2008-01,0.919,
2008-04,0.974,
2008-07,0.966,
2008-10,0.964,
2009-01,0.946,
2009-04,0.993,
2009-07,0.977,
2009-10,0.955,
2010-01,0.890,
2010-04,0.905,
2010-07,0.891,
2010-10,0.890,
2011-01,0.851,
2011-04,0.822,
2011-07,0.815,
2011-10,0.820,
2012-01,0.825,
2012-04,0.829,
2012-07,0.863,
2012-10,0.839,
2013-01,0.857,
2013-04,0.848,
2013-07,0.890,
2013-10,0.924,
2014-01,0.914,
2014-04,0.881,
2014-07,0.893,
