"",BBK01.TXI375,BBK01.TXI375_FLAGS
"",DEPOSITS OF ENTERPRISES AND HOUSEHOLDS / AT AGREED NOTICE OF OVER 3 MONTHS / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:32,
1980-01,143996,
1980-02,143457,
1980-03,143509,
1980-04,143046,
1980-05,142689,
1980-06,142763,
1980-07,140958,
1980-08,141086,
1980-09,141477,
1980-10,141844,
1980-11,141945,
1980-12,150026,
1981-01,146878,
1981-02,146407,
1981-03,145732,
1981-04,145795,
1981-05,145234,
1981-06,145138,
1981-07,142812,
1981-08,142685,
1981-09,142836,
1981-10,143088,
1981-11,143169,
1981-12,152444,
1982-01,148926,
1982-02,149076,
1982-03,149491,
1982-04,150040,
1982-05,149885,
1982-06,149950,
1982-07,147259,
1982-08,147242,
1982-09,147520,
1982-10,148067,
1982-11,148216,
1982-12,157342,
1983-01,152940,
1983-02,153260,
1983-03,153717,
1983-04,154210,
1983-05,154238,
1983-06,154519,
1983-07,149785,
1983-08,149942,
1983-09,150212,
1983-10,150550,
1983-11,150861,
1983-12,159405,
1984-01,155203,
1984-02,155738,
1984-03,156230,
1984-04,156362,
1984-05,156451,
1984-06,156721,
1984-07,153666,
1984-08,153902,
1984-09,153998,
1984-10,154419,
1984-11,154800,
1984-12,162601,
1985-01,160150,
1985-02,160688,
1985-03,161022,
1985-04,161003,
1985-05,160843,
1985-06,161096,
1985-07,158881,
1985-08,159359,
1985-09,159719,
1985-10,160337,
1985-11,160530,
1985-12,172501,
1986-01,170171,
1986-02,170962,
1986-03,171835,
1986-04,172411,
1986-05,172559,
1986-06,172977,
1986-07,170659,
1986-08,171126,
1986-09,171526,
1986-10,172104,
1986-11,172306,
1986-12,179422,
1987-01,177174,
1987-02,177927,
1987-03,178333,
1987-04,178186,
1987-05,178297,
1987-06,178478,
1987-07,176011,
1987-08,176144,
1987-09,176386,
1987-10,176333,
1987-11,176359,
1987-12,182678,
1988-01,180892,
1988-02,180663,
1988-03,180500,
1988-04,179862,
1988-05,179561,
1988-06,179194,
1988-07,177400,
1988-08,176696,
1988-09,176398,
1988-10,175996,
1988-11,175580,
1988-12,180315,
1989-01,174625,
1989-02,173377,
1989-03,172729,
1989-04,171960,
1989-05,171710,
1989-06,171914,
1989-07,169272,
1989-08,169552,
1989-09,170153,
1989-10,170731,
1989-11,171423,
1989-12,177911,
1990-01,175227,
1990-02,175711,
1990-03,176385,
1990-04,176723,
1990-05,176974,
1990-06,177415,
1990-07,175729,
1990-08,176677,
1990-09,177866,
1990-10,178515,
1990-11,179659,
1990-12,187414,
1991-01,184831,
1991-02,184658,
1991-03,185133,
1991-04,184556,
1991-05,184410,
1991-06,184532,
1991-07,182286,
1991-08,181932,
1991-09,182286,
1991-10,182214,
1991-11,182921,
1991-12,191470,
1992-01,188618,
1992-02,189066,
1992-03,189721,
1992-04,189004,
1992-05,188888,
1992-06,189416,
1992-07,187429,
1992-08,187897,
1992-09,188876,
1992-10,189483,
1992-11,189973,
1992-12,198952,
1993-01,195552,
1993-02,195476,
1993-03,196032,
1993-04,195372,
1993-05,195587,
1993-06,197809,
1993-07,198318,
1993-08,200353,
1993-09,201862,
1993-10,203186,
1993-11,204628,
1993-12,214534,
1994-01,213291,
1994-02,213281,
1994-03,213466,
1994-04,213384,
1994-05,214079,
1994-06,214580,
1994-07,214854,
1994-08,215278,
1994-09,215931,
1994-10,216015,
1994-11,216636,
1994-12,224940,
1995-01,218030,
1995-02,217768,
1995-03,218730,
1995-04,218675,
1995-05,218918,
1995-06,219131,
1995-07,220292,
1995-08,222461,
1995-09,222526,
1995-10,222289,
1995-11,222564,
1995-12,229200,
1996-01,227278,
1996-02,226982,
1996-03,226499,
1996-04,224740,
1996-05,223773,
1996-06,222655,
1996-07,221251,
1996-08,220268,
1996-09,219916,
1996-10,219442,
1996-11,219515,
1996-12,224553,
1997-01,221484,
1997-02,220965,
1997-03,221260,
1997-04,218995,
1997-05,217687,
1997-06,216902,
1997-07,215946,
1997-08,214727,
1997-09,214067,
1997-10,213446,
1997-11,213506,
1997-12,217443,
1998-01,215526,
1998-02,215459,
1998-03,214677,
1998-04,212542,
1998-05,210843,
1998-06,209974,
1998-07,208834,
1998-08,207865,
1998-09,207262,
1998-10,207057,
1998-11,207295,
1998-12,212331,
1999-01,121046,
1999-02,119362,
1999-03,118714,
1999-04,116421,
1999-05,112924,
1999-06,111301,
1999-07,109202,
1999-08,108341,
1999-09,109076,
1999-10,108418,
1999-11,108520,
1999-12,110588,
2000-01,109725,
2000-02,110759,
2000-03,111563,
2000-04,111128,
2000-05,112432,
2000-06,113939,
2000-07,114891,
2000-08,116542,
2000-09,118717,
2000-10,119455,
2000-11,121062,
2000-12,123680,
2001-01,123797,
2001-02,123806,
2001-03,123449,
2001-04,121443,
2001-05,120366,
2001-06,119470,
2001-07,118231,
2001-08,116989,
2001-09,116240,
2001-10,114445,
2001-11,113502,
2001-12,113554,
2002-01,109966,
2002-02,108957,
2002-03,107815,
2002-04,105887,
2002-05,104758,
2002-06,104550,
2002-07,104627,
2002-08,104775,
2002-09,104314,
2002-10,103505,
2002-11,102917,
2002-12,103123,
2003-01,101151,
2003-02,99961,
2003-03,98351,
2003-04,95826,
2003-05,94279,
2003-06,92885,
2003-07,90831,
2003-08,89285,
2003-09,88536,
2003-10,88627,
2003-11,88865,
2003-12,89874,
2004-01,88848,
2004-02,88459,
2004-03,88207,
2004-04,87064,
2004-05,86194,
2004-06,85834,
2004-07,85913,
2004-08,85841,
2004-09,85526,
2004-10,86087,
2004-11,86899,
2004-12,88028,
2005-01,87764,
2005-02,88330,
2005-03,88707,
2005-04,88240,
2005-05,87744,
2005-06,87113,
2005-07,86378,
2005-08,85402,
2005-09,83856,
2005-10,83207,
2005-11,83450,
2005-12,84213,
2006-01,84895,
2006-02,85179,
2006-03,85970,
2006-04,86186,
2006-05,87316,
2006-06,88621,
2006-07,89685,
2006-08,91207,
2006-09,92424,
2006-10,94527,
2006-11,97127,
2006-12,99127,
2007-01,100901,
2007-02,102929,
2007-03,104429,
2007-04,104639,
2007-05,104409,
2007-06,105017,
2007-07,105626,
2007-08,105815,
2007-09,106399,
2007-10,107541,
2007-11,108487,
2007-12,109510,
2008-01,109404,
2008-02,108532,
2008-03,106463,
2008-04,105116,
2008-05,103712,
2008-06,102934,
2008-07,102450,
2008-08,101335,
2008-09,100262,
2008-10,103224,
2008-11,106943,
2008-12,110700,
2009-01,110673,
2009-02,110601,
2009-03,111286,
2009-04,112145,
2009-05,113609,
2009-06,114598,
2009-07,115746,
2009-08,116474,
2009-09,117686,
2009-10,120085,
2009-11,120908,
2009-12,119839,
2010-01,118270,
2010-02,117624,
2010-03,117706,
2010-04,115819,
2010-05,114000,
2010-06,112735,
2010-07,110590,
2010-08,108842,
2010-09,106559,
2010-10,105184,
2010-11,105749,
2010-12,105747,
2011-01,105329,
2011-02,105391,
2011-03,105561,
2011-04,104773,
2011-05,104685,
2011-06,104487,
2011-07,104533,
2011-08,104429,
2011-09,103937,
2011-10,103792,
2011-11,101951,
2011-12,101191,
2012-01,100258,
2012-02,100018,
2012-03,99216,
2012-04,98895,
2012-05,98121,
2012-06,97132,
2012-07,96242,
2012-08,94841,
2012-09,93253,
2012-10,92506,
2012-11,91213,
2012-12,89618,
2013-01,87762,
2013-02,86209,
2013-03,85355,
2013-04,83807,
2013-05,81829,
2013-06,80962,
2013-07,79919,
2013-08,78952,
2013-09,78186,
2013-10,78117,
2013-11,78092,
2013-12,77787,
2014-01,77328,
2014-02,77557,
2014-03,77536,
2014-04,77370,
2014-05,77208,
2014-06,76124,
2014-07,76781,
2014-08,77719,
2014-09,78240,
2014-10,78050,
2014-11,77682,
2014-12,76321,
2015-01,77408,
