"",BBK01.OEAD33H,BBK01.OEAD33H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:55,
2002-01,0.923,
2002-04,0.904,
2002-07,0.870,
2002-10,0.821,
2003-01,0.814,
2003-04,0.815,
2003-07,0.832,
2003-10,0.820,
2004-01,0.804,
2004-04,0.794,
2004-07,0.790,
2004-10,0.754,
2005-01,0.732,
2005-04,0.761,
2005-07,0.758,
2005-10,0.765,
2006-01,0.740,
2006-04,0.733,
2006-07,0.735,
2006-10,0.733,
2007-01,0.708,
2007-04,0.733,
2007-07,0.746,
2007-10,0.742,
2008-01,0.750,
2008-04,0.728,
2008-07,0.753,
2008-10,0.765,
2009-01,0.562,
2009-04,0.554,
2009-07,0.550,
2009-10,0.526,
2010-01,0.480,
2010-04,0.520,
2010-07,0.509,
2010-10,0.492,
2011-01,0.495,
2011-04,0.479,
2011-07,0.491,
2011-10,0.502,
2012-01,0.510,
2012-04,0.490,
2012-07,0.472,
2012-10,0.473,
2013-01,0.492,
2013-04,0.494,
2013-07,0.490,
2013-10,0.484,
2014-01,0.471,
2014-04,0.483,
2014-07,0.484,
