"",BBSF2.M.1.S.I1252.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:20,
2009-09,150,
2009-10,144,
2009-11,140,
2009-12,140,
2010-01,142,
2010-02,138,
2010-03,137,
2010-04,138,
2010-05,134,
2010-06,135,
2010-07,133,
2010-08,133,
2010-09,137,
2010-10,137,
2010-11,138,
2010-12,144,
2011-01,145,
2011-02,145,
2011-03,146,
2011-04,148,
2011-05,147,
2011-06,147,
2011-07,148,
2011-08,147,
2011-09,148,
2011-10,148,
2011-11,148,
2011-12,146,
2012-01,143,
2012-02,144,
2012-03,145,
2012-04,145,
2012-05,144,
2012-06,138,
2012-07,138,
2012-08,139,
2012-09,141,
2012-10,141,
2012-11,140,
2012-12,138,
2013-01,138,
2013-02,140,
2013-03,141,
2013-04,141,
2013-05,139,
2013-06,139,
2013-07,142,
2013-08,142,
2013-09,142,
2013-10,142,
2013-11,142,
2013-12,143,
2014-01,140,
2014-02,141,
2014-03,138,
2014-04,137,
2014-05,140,
2014-06,141,
2014-07,140,
2014-08,151,
2014-09,152,
2014-10,155,
2014-11,154,
