"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:39,
1991-01,91.096,
1991-04,-7.883,
1991-07,8.181,
1991-10,18.119,
1992-01,60.035,
1992-04,111.073,
1992-07,34.110,
1992-10,131.266,
1993-01,-81.728,
1993-04,-34.889,
1993-07,-10.922,
1993-10,-22.172,
1994-01,72.650,
1994-04,82.926,
1994-07,40.724,
1994-10,-64.278,
1995-01,-9.651,
1995-04,15.090,
1995-07,32.204,
1995-10,-1.491,
1996-01,48.877,
1996-04,198.821,
1996-07,88.816,
1996-10,89.567,
1997-01,128.075,
1997-04,170.225,
1997-07,55.263,
1997-10,-140.843,
1998-01,-25.410,
1998-04,195.193,
1998-07,83.936,
1998-10,24.174,
1999-01,137.727,
1999-04,-71.168,
1999-07,200.075,
1999-10,113.171,
2000-01,149.323,
2000-04,10.979,
2000-07,433.010,
2000-10,352.453,
2001-01,168.192,
2001-04,207.186,
2001-07,220.233,
2001-10,-52.098,
2002-01,120.495,
2002-04,-25.013,
2002-07,-81.182,
2002-10,-110.937,
2003-01,91.877,
2003-04,99.043,
2003-07,122.253,
2003-10,37.334,
2004-01,290.808,
2004-04,255.900,
2004-07,196.570,
2004-10,210.020,
2005-01,-136.163,
2005-04,-116.809,
2005-07,-201.470,
2005-10,-77.091,
2006-01,66.840,
2006-04,73.572,
2006-07,-208.288,
2006-10,11.435,
2007-01,306.964,
2007-04,481.176,
2007-07,-144.413,
2007-10,147.223,
2008-01,445.237,
2008-04,78.909,
2008-07,381.015,
2008-10,292.749,
2009-01,54.208,
2009-04,3.208,
2009-07,290.651,
2009-10,459.253,
2010-01,181.454,
2010-04,93.079,
2010-07,-59.777,
2010-10,42.178,
2011-01,208.193,
2011-04,141.641,
2011-07,220.036,
2011-10,-168.085,
2012-01,409.418,
2012-04,117.064,
2012-07,210.368,
2012-10,324.663,
2013-01,207.215,
2013-04,109.244,
2013-07,155.900,
2013-10,365.690,
2014-01,312.281,Provisional value
2014-04,200.842,Provisional value
2014-07,172.750,Provisional value
2014-10,541.239,Provisional value
