"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.PT.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.PT.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Portugal,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:39,
2009-09,532,
2009-10,545,
2009-11,567,
2009-12,602,
2010-01,533,
2010-02,524,
2010-03,579,
2010-04,510,
2010-05,545,
2010-06,544,
2010-07,517,
2010-08,502,
2010-09,538,
2010-10,600,
2010-11,553,
2010-12,583,
2011-01,628,
2011-02,638,
2011-03,621,
2011-04,611,
2011-05,650,
2011-06,638,
2011-07,621,
2011-08,567,
2011-09,563,
2011-10,583,
2011-11,519,
2011-12,511,
2012-01,495,
2012-02,487,
2012-03,485,
2012-04,441,
2012-05,388,
2012-06,383,
2012-07,410,
2012-08,428,
2012-09,410,
2012-10,348,
2012-11,336,
2012-12,366,
2013-01,404,
2013-02,383,
2013-03,387,
2013-04,426,
2013-05,409,
2013-06,387,
2013-07,397,
2013-08,390,
2013-09,420,
2013-10,433,
2013-11,453,
2013-12,489,
2014-01,490,
2014-02,544,
2014-03,580,
2014-04,593,
2014-05,545,
2014-06,556,
2014-07,541,
2014-08,534,
2014-09,518,
2014-10,479,
2014-11,458,
