"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.US.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.US.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:05,
2009-09,7873,
2009-10,7446,
2009-11,7563,
2009-12,8186,
2010-01,8053,
2010-02,8536,
2010-03,9587,
2010-04,10350,
2010-05,10128,
2010-06,9779,
2010-07,9718,
2010-08,9346,
2010-09,9813,
2010-10,9895,
2010-11,10622,
2010-12,11233,
2011-01,10844,
2011-02,11400,
2011-03,11609,
2011-04,11792,
2011-05,12374,
2011-06,12190,
2011-07,12227,
2011-08,11372,
2011-09,11056,
2011-10,11837,
2011-11,11908,
2011-12,12706,
2012-01,13079,
2012-02,13537,
2012-03,13839,
2012-04,13815,
2012-05,13773,
2012-06,13711,
2012-07,14291,
2012-08,14198,
2012-09,14360,
2012-10,13892,
2012-11,14185,
2012-12,14217,
2013-01,15177,
2013-02,16028,
2013-03,17621,
2013-04,17253,
2013-05,18133,
2013-06,18081,
2013-07,18897,
2013-08,18727,
2013-09,19361,
2013-10,20283,
2013-11,21014,
2013-12,20653,
2014-01,20594,
2014-02,21221,
2014-03,21239,
2014-04,21761,
2014-05,22956,
2014-06,23487,
2014-07,23919,
2014-08,25299,
2014-09,25839,
2014-10,26767,
2014-11,28236,
