"",BBK01.OXA8O7,BBK01.OXA8O7_FLAGS
"","Stocks of loans to domestic employees and other individuals (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:27,
2009-12,53.058,
2010-01,52.975,
2010-02,-,Nothing exists
2010-03,51.569,
2010-04,-,Nothing exists
2010-05,50.042,
2010-06,49.789,
2010-07,49.491,
2010-08,48.799,
2010-09,48.010,
2010-10,47.893,
2010-11,49.441,
2010-12,48.528,
2011-01,47.293,
2011-02,46.636,
2011-03,45.882,
2011-04,45.624,
2011-05,44.827,
2011-06,44.141,
2011-07,44.126,
2011-08,45.594,
2011-09,45.114,
2011-10,44.319,
2011-11,44.951,
2011-12,44.352,
2012-01,43.595,
2012-02,42.891,
2012-03,42.146,
2012-04,41.318,
2012-05,40.386,
2012-06,39.649,
2012-07,39.051,
2012-08,38.353,
2012-09,37.384,
2012-10,36.542,
2012-11,36.726,
2012-12,36.181,
2013-01,35.439,
2013-02,34.535,
2013-03,36.362,
2013-04,35.489,
2013-05,34.845,
2013-06,35.904,
2013-07,36.092,
2013-08,35.155,
2013-09,34.125,
2013-10,33.304,
2013-11,33.528,
2013-12,32.822,
2014-01,32.312,
2014-02,31.257,
2014-03,33.171,
2014-04,34.665,
2014-05,34.901,
2014-06,34.190,
2014-07,33.507,
2014-08,33.775,
2014-09,35.537,
2014-10,36.720,
2014-11,36.375,
2014-12,35.578,Provisional value
