"",BBK01.OELB03U,BBK01.OELB03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:41,
2002-01,0.200,
2002-04,0.191,
2002-07,0.181,
2002-10,0.179,
2003-01,0.175,
2003-04,0.179,
2003-07,0.187,
2003-10,0.185,
2004-01,0.207,
2004-04,0.200,
2004-07,0.186,
2004-10,0.199,
2005-01,0.162,
2005-04,0.156,
2005-07,0.157,
2005-10,0.159,
2006-01,0.151,
2006-04,0.155,
2006-07,0.138,
2006-10,0.127,
2007-01,0.126,
2007-04,0.122,
2007-07,0.129,
2007-10,0.121,
2008-01,0.121,
2008-04,0.119,
2008-07,0.113,
2008-10,0.111,
2009-01,0.110,
2009-04,0.110,
2009-07,0.120,
2009-10,0.125,
2010-01,0.129,
2010-04,0.133,
2010-07,0.136,
2010-10,0.136,
2011-01,0.138,
2011-04,0.143,
2011-07,0.150,
2011-10,0.148,
2012-01,0.150,
2012-04,0.177,
2012-07,0.181,
2012-10,0.181,
2013-01,0.189,
2013-04,0.190,
2013-07,0.204,
2013-10,0.203,
2014-01,0.202,
2014-04,0.202,
2014-07,0.210,
