"",BBK01.OEBL03R,BBK01.OEBL03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:17,
2002-01,0.118,
2002-04,0.106,
2002-07,0.105,
2002-10,0.115,
2003-01,0.102,
2003-04,0.101,
2003-07,0.108,
2003-10,0.090,
2004-01,0.087,
2004-04,0.085,
2004-07,0.078,
2004-10,0.078,
2005-01,0.157,
2005-04,0.159,
2005-07,0.152,
2005-10,0.149,
2006-01,0.151,
2006-04,0.157,
2006-07,0.161,
2006-10,0.169,
2007-01,0.184,
2007-04,0.188,
2007-07,0.207,
2007-10,0.238,
2008-01,0.276,
2008-04,0.294,
2008-07,0.350,
2008-10,0.357,
2009-01,0.324,
2009-04,0.302,
2009-07,0.246,
2009-10,0.208,
2010-01,0.188,
2010-04,0.183,
2010-07,0.153,
2010-10,0.131,
2011-01,0.128,
2011-04,0.126,
2011-07,0.114,
2011-10,0.149,
2012-01,0.161,
2012-04,0.154,
2012-07,0.148,
2012-10,0.133,
2013-01,0.119,
2013-04,0.119,
2013-07,0.114,
2013-10,0.107,
2014-01,0.103,
2014-04,0.102,
2014-07,0.095,
