"",BBFB1.Q.N.DE.E14000.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:21,
1991-01,427.872,
1991-04,513.271,
1991-07,486.460,
1991-10,451.487,
1992-01,485.952,
1992-04,424.866,
1992-07,505.102,
1992-10,494.264,
1993-01,535.909,
1993-04,589.471,
1993-07,607.813,
1993-10,646.375,
1994-01,674.652,
1994-04,652.406,
1994-07,635.165,
1994-10,659.051,
1995-01,796.571,
1995-04,833.220,
1995-07,763.830,
1995-10,797.170,
1996-01,1016.937,
1996-04,1095.715,
1996-07,1070.971,
1996-10,1109.293,
1997-01,875.486,
1997-04,883.554,
1997-07,906.263,
1997-10,867.148,
1998-01,728.130,
1998-04,845.853,
1998-07,774.958,
1998-10,918.286,
1999-01,612.908,
1999-04,784.280,
1999-07,680.451,
1999-10,881.034,
2000-01,388.577,
2000-04,632.366,
2000-07,438.630,
2000-10,431.022,
2001-01,856.181,
2001-04,1031.350,
2001-07,979.762,
2001-10,876.997,
2002-01,496.714,
2002-04,578.952,
2002-07,515.594,
2002-10,596.987,
2003-01,2452.994,
2003-04,2707.278,
2003-07,2362.060,
2003-10,2226.789,
2004-01,2138.872,
2004-04,2022.966,
2004-07,1738.191,
2004-10,1709.600,
2005-01,1579.255,
2005-04,1747.369,
2005-07,1562.134,
2005-10,1497.035,
2006-01,1116.865,
2006-04,1241.661,
2006-07,992.518,
2006-10,1041.438,
2007-01,1536.669,
2007-04,1934.402,
2007-07,1667.471,
2007-10,1665.220,
2008-01,1904.759,
2008-04,2138.116,
2008-07,1805.788,
2008-10,1766.723,
2009-01,1174.993,
2009-04,1394.174,
2009-07,1151.917,
2009-10,1076.004,
2010-01,1180.150,
2010-04,1592.326,
2010-07,1404.697,
2010-10,1612.379,
2011-01,2010.444,
2011-04,2621.066,
2011-07,2145.657,
2011-10,2180.796,
2012-01,1134.120,
2012-04,1495.594,
2012-07,1029.279,
2012-10,1040.842,
2013-01,1461.548,
2013-04,1858.126,
2013-07,1370.765,
2013-10,1346.245,
2014-01,1199.606,Provisional value
2014-04,1560.498,Provisional value
2014-07,1251.022,Provisional value
