"",BBK01.OEAD16U,BBK01.OEAD16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:37,
2002-01,0.145,
2002-04,0.145,
2002-07,0.140,
2002-10,0.141,
2003-01,0.153,
2003-04,0.151,
2003-07,0.155,
2003-10,0.167,
2004-01,0.159,
2004-04,0.134,
2004-07,0.126,
2004-10,0.128,
2005-01,0.131,
2005-04,0.121,
2005-07,0.128,
2005-10,0.118,
2006-01,0.119,
2006-04,0.110,
2006-07,0.106,
2006-10,0.123,
2007-01,0.119,
2007-04,0.119,
2007-07,0.117,
2007-10,0.125,
2008-01,0.133,
2008-04,0.136,
2008-07,0.140,
2008-10,0.120,
2009-01,0.128,
2009-04,0.135,
2009-07,0.180,
2009-10,0.137,
2010-01,0.140,
2010-04,0.124,
2010-07,0.123,
2010-10,0.119,
2011-01,0.137,
2011-04,0.125,
2011-07,0.116,
2011-10,0.120,
2012-01,0.123,
2012-04,0.122,
2012-07,0.123,
2012-10,0.116,
2013-01,0.127,
2013-04,0.137,
2013-07,0.125,
2013-10,0.112,
2014-01,0.144,
2014-04,0.148,
2014-07,0.141,
