"",BBK01.OEHI06L,BBK01.OEHI06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:57,
2002-01,5.879,
2002-04,6.020,
2002-07,5.969,
2002-10,5.962,
2003-01,5.894,
2003-04,5.732,
2003-07,5.647,
2003-10,5.828,
2004-01,5.869,
2004-04,5.945,
2004-07,5.953,
2004-10,5.874,
2005-01,5.736,
2005-04,5.623,
2005-07,5.535,
2005-10,5.567,
2006-01,5.681,
2006-04,5.748,
2006-07,5.936,
2006-10,6.178,
2007-01,6.578,
2007-04,7.215,
2007-07,7.901,
2007-10,8.914,
2008-01,9.434,
2008-04,10.038,
2008-07,10.241,
2008-10,10.605,
2009-01,9.412,
2009-04,7.960,
2009-07,7.037,
2009-10,6.385,
2010-01,5.972,
2010-04,5.778,
2010-07,5.641,
2010-10,5.820,
2011-01,5.830,
2011-04,5.999,
2011-07,6.140,
2011-10,6.297,
2012-01,6.204,
2012-04,5.950,
2012-07,5.631,
2012-10,5.301,
2013-01,4.726,
2013-04,4.365,
2013-07,4.103,
2013-10,3.959,
2014-01,3.760,
2014-04,3.567,
2014-07,3.435,
