"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D1.F81.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D1.F81.T._T._X.N_FLAGS
2005-11,1801.332,
2005-12,824.791,
2006-01,-879.968,
2006-02,-401.555,
2006-03,1912.554,
2006-04,-658.188,
2006-05,-556.790,
2006-06,1727.061,
2006-07,-1777.444,
2006-08,-344.135,
2006-09,2141.971,
2006-10,1590.088,
2006-11,1124.528,
2006-12,158.742,
2007-01,-1605.150,
2007-02,-1059.377,
2007-03,3259.402,
2007-04,-1612.077,
2007-05,-888.876,
2007-06,1758.521,
2007-07,-1567.257,
2007-08,-46.985,
2007-09,2985.349,
2007-10,165.241,
2007-11,-0.720,
2007-12,-225.618,
2008-01,-1945.737,
2008-02,966.098,
2008-03,1264.026,
2008-04,-713.091,
2008-05,62.636,
2008-06,6.609,
2008-07,-366.035,
2008-08,-1450.313,
2008-09,1826.204,
2008-10,-398.096,
2008-11,-329.333,
2008-12,-3047.737,
2009-01,-3358.557,
2009-02,-781.810,
2009-03,1241.347,
2009-04,-1798.874,
2009-05,9.077,
2009-06,1636.860,
2009-07,366.538,
2009-08,-1128.270,
2009-09,1762.448,
2009-10,493.965,
2009-11,519.190,
2009-12,50.518,
2010-01,-2185.489,
2010-02,1154.112,
2010-03,2125.262,
2010-04,-1172.418,
2010-05,1529.040,
2010-06,1624.096,
2010-07,-612.438,
2010-08,-1778.865,
2010-09,3931.506,
2010-10,315.826,
2010-11,-72.497,
2010-12,1663.856,
2011-01,-1199.006,
2011-02,620.124,
2011-03,563.303,
2011-04,354.091,
2011-05,-955.876,
2011-06,1357.521,
2011-07,675.719,
2011-08,-3053.705,
2011-09,4024.979,
2011-10,605.318,
2011-11,-440.534,
2011-12,-625.685,
2012-01,-3113.080,
2012-02,1316.360,
2012-03,589.155,
2012-04,-1350.283,
2012-05,-306.073,
2012-06,551.285,
2012-07,378.809,
2012-08,-1893.588,
2012-09,2211.645,
2012-10,2054.408,
2012-11,625.646,
2012-12,-931.840,
2013-01,-617.000,
2013-02,-82.000,
2013-03,77.000,
2013-04,-369.000,
2013-05,-40.000,
2013-06,73.000,
2013-07,-306.000,
2013-08,-53.000,
2013-09,687.000,
2013-10,516.000,
2013-11,-255.000,
2013-12,1483.000,
2014-01,-2378.000,
2014-02,357.000,Provisional value
2014-03,143.000,Provisional value
2014-04,-365.000,Provisional value
2014-05,9.000,Provisional value
2014-06,266.000,Provisional value
2014-07,666.000,Provisional value
2014-08,-1309.000,Provisional value
2014-09,532.000,
2014-10,43.000,
2014-11,47.000,
2014-12,124.000,Provisional value
