"",BBK01.OEAE07J,BBK01.OEAE07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:35,
2002-01,0.729,
2002-04,0.719,
2002-07,0.809,
2002-10,0.844,
2003-01,0.837,
2003-04,0.833,
2003-07,0.836,
2003-10,0.843,
2004-01,0.821,
2004-04,0.817,
2004-07,0.834,
2004-10,0.814,
2005-01,0.817,
2005-04,0.808,
2005-07,0.813,
2005-10,0.799,
2006-01,0.792,
2006-04,0.826,
2006-07,0.820,
2006-10,0.825,
2007-01,0.817,
2007-04,0.803,
2007-07,0.795,
2007-10,0.791,
2008-01,0.787,
2008-04,0.783,
2008-07,0.675,
2008-10,0.664,
2009-01,0.630,
2009-04,0.631,
2009-07,0.618,
2009-10,0.597,
2010-01,0.389,
2010-04,0.801,
2010-07,0.804,
2010-10,0.800,
2011-01,0.788,
2011-04,0.567,
2011-07,0.596,
2011-10,0.566,
2012-01,0.562,
2012-04,0.992,
2012-07,0.983,
2012-10,0.985,
2013-01,1.006,
2013-04,0.991,
2013-07,0.983,
2013-10,0.987,
2014-01,0.981,
2014-04,0.968,
2014-07,0.967,
