"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CH.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CH.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Switzerland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:19,
2009-09,324,
2009-10,299,
2009-11,308,
2009-12,311,
2010-01,474,
2010-02,225,
2010-03,236,
2010-04,241,
2010-05,247,
2010-06,263,
2010-07,199,
2010-08,271,
2010-09,283,
2010-10,287,
2010-11,238,
2010-12,255,
2011-01,255,
2011-02,181,
2011-03,163,
2011-04,166,
2011-05,181,
2011-06,204,
2011-07,205,
2011-08,551,
2011-09,547,
2011-10,5147,
2011-11,1077,
2011-12,861,
2012-01,1145,
2012-02,1157,
2012-03,1202,
2012-04,1238,
2012-05,1271,
2012-06,1259,
2012-07,1268,
2012-08,1229,
2012-09,429,
2012-10,417,
2012-11,207,
2012-12,244,
2013-01,224,
2013-02,222,
2013-03,190,
2013-04,191,
2013-05,215,
2013-06,216,
2013-07,207,
2013-08,211,
2013-09,260,
2013-10,300,
2013-11,373,
2013-12,423,
2014-01,464,
2014-02,539,
2014-03,526,
2014-04,549,
2014-05,592,
2014-06,587,
2014-07,590,
2014-08,614,
2014-09,615,
2014-10,618,
2014-11,615,
