"",BBFB1.Q.N.DE.W00200.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:14,
1991-01,14804.750,
1991-04,15129.756,
1991-07,15028.338,
1991-10,15196.764,
1992-01,14619.671,
1992-04,14957.114,
1992-07,15311.820,
1992-10,14793.009,
1993-01,15289.086,
1993-04,15244.000,
1993-07,14384.291,
1993-10,14943.579,
1994-01,13742.394,
1994-04,13307.661,
1994-07,13353.826,
1994-10,15326.820,
1995-01,13845.478,
1995-04,13794.912,
1995-07,13228.473,
1995-10,16215.234,
1996-01,14024.915,
1996-04,13829.435,
1996-07,14067.258,
1996-10,17896.449,
1997-01,15658.639,
1997-04,16357.797,
1997-07,15905.947,
1997-10,20885.125,
1998-01,16057.217,
1998-04,17452.313,
1998-07,16841.486,
1998-10,20880.737,
1999-01,16869.225,
1999-04,20548.455,
1999-07,18276.741,
1999-10,24164.604,
2000-01,22346.326,
2000-04,24204.524,
2000-07,23271.126,
2000-10,32849.040,
2001-01,23069.888,
2001-04,23248.684,
2001-07,20976.673,
2001-10,24409.897,
2002-01,22876.034,
2002-04,23235.060,
2002-07,22581.083,
2002-10,25504.698,
2003-01,23033.291,
2003-04,23787.202,
2003-07,23426.154,
2003-10,28009.710,
2004-01,28312.140,
2004-04,29777.271,
2004-07,29534.677,
2004-10,34964.207,
2005-01,33438.520,
2005-04,35427.784,
2005-07,35370.435,
2005-10,41069.816,
2006-01,40507.845,
2006-04,44834.770,
2006-07,44464.435,
2006-10,53289.236,
2007-01,53286.900,
2007-04,55396.996,
2007-07,51150.806,
2007-10,56116.318,
2008-01,46432.351,
2008-04,45572.497,
2008-07,40386.443,
2008-10,44151.242,
2009-01,40591.309,
2009-04,40750.593,
2009-07,39025.348,
2009-10,45489.385,
2010-01,40346.167,
2010-04,43281.829,
2010-07,41783.525,
2010-10,50666.959,
2011-01,45324.474,
2011-04,48312.356,
2011-07,46232.079,
2011-10,52470.510,
2012-01,45639.502,
2012-04,46666.490,
2012-07,44910.578,
2012-10,51843.994,
2013-01,43280.719,
2013-04,44159.222,
2013-07,41404.340,
2013-10,48729.650,
2014-01,41063.030,Provisional value
2014-04,43970.628,Provisional value
2014-07,40541.842,Provisional value
