"",BBDE1.M.DE.W.GUA1.P2XG75070.A.V.I10.A,BBDE1.M.DE.W.GUA1.P2XG75070.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.73 to 47.75 Pharmacies and retail trade of medical, orthopaedic, cosmetic and toilet goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:01,
1994-01,50.6,
1994-02,49.9,
1994-03,56.6,
1994-04,52.1,
1994-05,53.8,
1994-06,55.2,
1994-07,56.3,
1994-08,52.8,
1994-09,54.3,
1994-10,56.8,
1994-11,56.7,
1994-12,68.8,
1995-01,54.0,
1995-02,54.0,
1995-03,61.6,
1995-04,59.4,
1995-05,58.7,
1995-06,59.4,
1995-07,58.4,
1995-08,56.1,
1995-09,56.2,
1995-10,59.8,
1995-11,59.8,
1995-12,70.7,
1996-01,60.0,
1996-02,57.8,
1996-03,63.7,
1996-04,61.5,
1996-05,61.3,
1996-06,60.9,
1996-07,61.3,
1996-08,58.7,
1996-09,61.0,
1996-10,62.3,
1996-11,59.7,
1996-12,69.1,
1997-01,60.6,
1997-02,58.9,
1997-03,63.6,
1997-04,62.6,
1997-05,61.2,
1997-06,68.7,
1997-07,61.0,
1997-08,57.6,
1997-09,60.0,
1997-10,64.1,
1997-11,63.9,
1997-12,74.5,
1998-01,61.1,
1998-02,60.5,
1998-03,68.1,
1998-04,64.2,
1998-05,63.9,
1998-06,64.1,
1998-07,68.3,
1998-08,62.5,
1998-09,64.6,
1998-10,68.0,
1998-11,70.2,
1998-12,80.8,
1999-01,69.2,
1999-02,66.8,
1999-03,73.7,
1999-04,68.7,
1999-05,69.8,
1999-06,69.7,
1999-07,71.5,
1999-08,69.0,
1999-09,69.5,
1999-10,72.4,
1999-11,72.5,
1999-12,82.1,
2000-01,72.9,
2000-02,68.8,
2000-03,72.9,
2000-04,72.3,
2000-05,75.3,
2000-06,73.7,
2000-07,75.1,
2000-08,72.7,
2000-09,71.9,
2000-10,77.7,
2000-11,77.5,
2000-12,85.1,
2001-01,77.8,
2001-02,72.4,
2001-03,77.5,
2001-04,78.7,
2001-05,79.1,
2001-06,77.3,
2001-07,81.9,
2001-08,77.6,
2001-09,76.2,
2001-10,80.3,
2001-11,82.6,
2001-12,90.5,
2002-01,79.0,
2002-02,75.0,
2002-03,83.0,
2002-04,81.4,
2002-05,81.2,
2002-06,78.8,
2002-07,83.2,
2002-08,79.4,
2002-09,81.0,
2002-10,83.4,
2002-11,82.7,
2002-12,92.8,
2003-01,78.7,
2003-02,77.0,
2003-03,81.5,
2003-04,83.7,
2003-05,80.5,
2003-06,82.4,
2003-07,86.0,
2003-08,80.3,
2003-09,81.6,
2003-10,86.3,
2003-11,86.6,
2003-12,102.2,
2004-01,71.7,
2004-02,74.3,
2004-03,84.1,
2004-04,82.8,
2004-05,81.2,
2004-06,83.1,
2004-07,85.5,
2004-08,81.9,
2004-09,82.3,
2004-10,87.7,
2004-11,87.3,
2004-12,103.7,
2005-01,81.2,
2005-02,80.5,
2005-03,88.7,
2005-04,84.0,
2005-05,85.7,
2005-06,85.7,
2005-07,89.9,
2005-08,84.1,
2005-09,87.4,
2005-10,90.1,
2005-11,90.9,
2005-12,103.6,
2006-01,84.4,
2006-02,82.1,
2006-03,91.1,
2006-04,89.0,
2006-05,88.6,
2006-06,87.9,
2006-07,90.2,
2006-08,86.2,
2006-09,85.9,
2006-10,92.3,
2006-11,93.1,
2006-12,103.6,
2007-01,85.2,
2007-02,83.3,
2007-03,92.0,
2007-04,91.8,
2007-05,90.6,
2007-06,88.4,
2007-07,94.4,
2007-08,89.3,
2007-09,89.8,
2007-10,95.1,
2007-11,95.5,
2007-12,101.5,
2008-01,91.5,
2008-02,88.1,
2008-03,93.3,
2008-04,93.6,
2008-05,90.3,
2008-06,91.3,
2008-07,95.0,
2008-08,90.2,
2008-09,92.7,
2008-10,96.2,
2008-11,97.2,
2008-12,108.9,
2009-01,90.9,
2009-02,87.3,
2009-03,96.4,
2009-04,95.9,
2009-05,93.2,
2009-06,92.6,
2009-07,97.6,
2009-08,93.1,
2009-09,94.4,
2009-10,99.1,
2009-11,103.9,
2009-12,112.9,
2010-01,92.6,
2010-02,91.9,
2010-03,102.5,
2010-04,98.5,
2010-05,98.8,
2010-06,97.8,
2010-07,102.0,
2010-08,99.1,
2010-09,98.6,
2010-10,103.3,
2010-11,102.5,
2010-12,114.7,
2011-01,96.3,
2011-02,92.7,
2011-03,100.1,
2011-04,98.1,
2011-05,98.8,
2011-06,97.5,
2011-07,102.4,
2011-08,98.1,
2011-09,100.0,
2011-10,102.5,
2011-11,103.6,
2011-12,115.5,
2012-01,97.4,
2012-02,94.4,
2012-03,104.4,
2012-04,101.6,
2012-05,100.7,
2012-06,98.6,
2012-07,102.6,
2012-08,96.2,
2012-09,95.9,
2012-10,102.0,
2012-11,103.3,
2012-12,108.2,
2013-01,99.7,
2013-02,95.9,
2013-03,105.0,
2013-04,101.5,
2013-05,100.8,
2013-06,98.9,
2013-07,106.2,
2013-08,99.0,
2013-09,101.5,
2013-10,106.1,
2013-11,106.2,
2013-12,116.3,
2014-01,105.0,Provisional value
2014-02,102.5,Provisional value
2014-03,109.0,Provisional value
2014-04,109.4,Provisional value
2014-05,106.6,Provisional value
2014-06,109.1,Provisional value
2014-07,114.1,Provisional value
2014-08,106.4,Provisional value
2014-09,108.0,Provisional value
2014-10,114.5,Provisional value
2014-11,116.2,Provisional value
2014-12,125.8,Provisional value
