"",BBK01.OEAC19M,BBK01.OEAC19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:40,
2002-01,1.696,
2002-04,1.671,
2002-07,1.614,
2002-10,1.477,
2003-01,1.441,
2003-04,1.431,
2003-07,1.348,
2003-10,1.206,
2004-01,1.273,
2004-04,1.281,
2004-07,1.226,
2004-10,1.068,
2005-01,1.179,
2005-04,1.133,
2005-07,1.093,
2005-10,0.959,
2006-01,1.079,
2006-04,1.111,
2006-07,1.107,
2006-10,1.012,
2007-01,1.092,
2007-04,1.157,
2007-07,1.113,
2007-10,0.919,
2008-01,0.994,
2008-04,0.978,
2008-07,0.934,
2008-10,0.835,
2009-01,1.358,
2009-04,1.315,
2009-07,1.216,
2009-10,1.105,
2010-01,1.154,
2010-04,1.093,
2010-07,1.125,
2010-10,0.937,
2011-01,1.050,
2011-04,1.100,
2011-07,1.091,
2011-10,0.933,
2012-01,1.091,
2012-04,1.140,
2012-07,1.132,
2012-10,0.984,
2013-01,1.151,
2013-04,1.112,
2013-07,1.122,
2013-10,0.926,
2014-01,1.065,
2014-04,1.090,
2014-07,1.078,
