"",BBFN1.M.DE.N.1.A.LU.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:21,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,0.344,
1995-01,0.357,
1995-02,0.381,
1995-03,0.406,
1995-04,0.411,
1995-05,0.415,
1995-06,0.348,
1995-07,0.343,
1995-08,0.330,
1995-09,0.331,
1995-10,0.349,
1995-11,0.373,
1995-12,0.355,
1996-01,0.349,
1996-02,0.390,
1996-03,0.426,
1996-04,0.435,
1996-05,0.448,
1996-06,0.343,
1996-07,0.335,
1996-08,0.358,
1996-09,0.373,
1996-10,0.402,
1996-11,0.425,
1996-12,0.412,
1997-01,0.397,
1997-02,0.412,
1997-03,0.431,
1997-04,0.451,
1997-05,0.434,
1997-06,0.365,
1997-07,0.386,
1997-08,0.382,
1997-09,0.432,
1997-10,0.407,
1997-11,0.454,
1997-12,0.451,
1998-01,0.466,
1998-02,0.504,
1998-03,0.529,
1998-04,0.562,
1998-05,0.549,
1998-06,0.437,
1998-07,0.425,
1998-08,0.382,
1998-09,0.399,
1998-10,0.406,
1998-11,0.425,
1998-12,0.429,
1999-01,0.426,
1999-02,0.419,
1999-03,0.483,
1999-04,0.507,
1999-05,0.539,
1999-06,0.456,
1999-07,0.522,
1999-08,0.460,
1999-09,0.647,
1999-10,0.657,
1999-11,0.524,
1999-12,0.505,
2000-01,0.523,
2000-02,0.542,
2000-03,0.580,
2000-04,0.521,
2000-05,0.522,
2000-06,0.430,
2000-07,0.485,
2000-08,0.491,
2000-09,0.508,
2000-10,0.513,
2000-11,0.581,
2000-12,0.528,
2001-01,0.556,
2001-02,0.622,
2001-03,0.622,
2001-04,0.617,
2001-05,0.577,
2001-06,0.561,
2001-07,0.562,
2001-08,0.581,
2001-09,0.539,
2001-10,0.577,
2001-11,0.592,
2001-12,0.659,
2002-01,0.673,
2002-02,0.626,
2002-03,0.581,
2002-04,0.587,
2002-05,0.566,
2002-06,0.551,
2002-07,0.519,
2002-08,0.514,
2002-09,0.594,
2002-10,0.701,
2002-11,0.786,
2002-12,0.764,
2003-01,0.796,
2003-02,0.858,
2003-03,0.958,
2003-04,0.935,
2003-05,0.772,
2003-06,0.693,
2003-07,0.649,
2003-08,0.588,
2003-09,0.683,
2003-10,0.727,
2003-11,0.694,
2003-12,0.609,
2004-01,0.639,
2004-02,0.666,
2004-03,0.702,
2004-04,0.678,
2004-05,0.697,
2004-06,0.725,
2004-07,0.698,
2004-08,0.684,
2004-09,0.765,
2004-10,0.765,
2004-11,0.822,
2004-12,0.836,
2005-01,0.829,
2005-02,0.852,
2005-03,0.825,
2005-04,0.758,
2005-05,0.801,
2005-06,0.836,
2005-07,0.753,
2005-08,0.758,
2005-09,0.820,
2005-10,0.826,
2005-11,0.868,
2005-12,0.862,
2006-01,0.946,
2006-02,0.913,
2006-03,0.973,
2006-04,0.841,
2006-05,1.035,
2006-06,0.984,
2006-07,0.908,
2006-08,1.027,
2006-09,1.154,
2006-10,1.191,
2006-11,1.226,
2006-12,1.170,
2007-01,1.307,
2007-02,1.322,
2007-03,1.324,
2007-04,1.248,
2007-05,1.282,
2007-06,1.354,
2007-07,1.319,
2007-08,1.346,
2007-09,1.287,
2007-10,1.300,
2007-11,1.282,
2007-12,1.219,
2008-01,1.290,
2008-02,1.468,
2008-03,1.498,
2008-04,1.586,
2008-05,1.571,
2008-06,1.688,
2008-07,1.711,
2008-08,1.706,
2008-09,1.788,
2008-10,1.762,
2008-11,1.833,
2008-12,1.550,
2009-01,1.542,
2009-02,1.665,
2009-03,1.635,
2009-04,1.565,
2009-05,1.580,
2009-06,1.778,
2009-07,1.781,
2009-08,1.790,
2009-09,2.013,
2009-10,1.971,
2009-11,2.151,
2009-12,1.710,
2010-01,1.734,
2010-02,1.691,
2010-03,1.636,
2010-04,1.926,
2010-05,2.374,
2010-06,2.405,
2010-07,2.448,
2010-08,2.211,
2010-09,2.217,
2010-10,2.402,
2010-11,2.252,
2010-12,2.148,
2011-01,2.132,
2011-02,2.353,
2011-03,2.453,
2011-04,2.500,
2011-05,2.512,
2011-06,3.813,
2011-07,3.850,
2011-08,3.472,
2011-09,3.559,
2011-10,3.570,
2011-11,3.571,
2011-12,2.594,
2012-01,2.440,
2012-02,2.533,
2012-03,2.509,
2012-04,2.415,
2012-05,2.545,
2012-06,2.627,
2012-07,2.642,
2012-08,2.458,
2012-09,2.564,
2012-10,2.625,
2012-11,2.618,
2012-12,2.215,
2013-01,2.403,
2013-02,2.463,
2013-03,2.495,
2013-04,2.530,
2013-05,2.420,
2013-06,2.557,
2013-07,2.468,
2013-08,2.504,
2013-09,2.859,
2013-10,2.912,
2013-11,2.959,
2013-12,2.624,
2014-01,2.708,
2014-02,2.621,
2014-03,2.657,
2014-04,2.896,
2014-05,2.927,
2014-06,2.691,
2014-07,2.989,
2014-08,2.670,
2014-09,2.704,
2014-10,2.958,
2014-11,2.745,
2014-12,2.619,
