"",BBK01.OEHJ03V,BBK01.OEHJ03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:30,
2002-01,0.408,
2002-04,0.429,
2002-07,0.426,
2002-10,0.499,
2003-01,0.422,
2003-04,0.442,
2003-07,0.430,
2003-10,0.512,
2004-01,0.376,
2004-04,0.358,
2004-07,0.359,
2004-10,0.452,
2005-01,0.366,
2005-04,0.366,
2005-07,0.378,
2005-10,0.460,
2006-01,0.439,
2006-04,0.392,
2006-07,0.416,
2006-10,0.440,
2007-01,0.456,
2007-04,0.515,
2007-07,0.534,
2007-10,0.548,
2008-01,0.646,
2008-04,0.662,
2008-07,0.659,
2008-10,0.874,
2009-01,0.713,
2009-04,0.526,
2009-07,0.432,
2009-10,0.477,
2010-01,0.395,
2010-04,0.435,
2010-07,0.448,
2010-10,0.471,
2011-01,0.407,
2011-04,0.327,
2011-07,0.313,
2011-10,0.359,
2012-01,0.278,
2012-04,0.281,
2012-07,0.222,
2012-10,0.237,
2013-01,0.201,
2013-04,0.193,
2013-07,0.190,
2013-10,0.201,
2014-01,0.230,
2014-04,0.190,
2014-07,0.189,
