"",BBK01.OEHB11G,BBK01.OEHB11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:06,
2002-01,1.873,
2002-04,1.898,
2002-07,1.953,
2002-10,1.964,
2003-01,1.864,
2003-04,1.826,
2003-07,1.853,
2003-10,1.854,
2004-01,1.846,
2004-04,1.899,
2004-07,1.902,
2004-10,1.895,
2005-01,1.915,
2005-04,2.006,
2005-07,2.028,
2005-10,2.083,
2006-01,2.121,
2006-04,2.116,
2006-07,2.142,
2006-10,2.196,
2007-01,2.227,
2007-04,2.287,
2007-07,2.348,
2007-10,2.456,
2008-01,2.639,
2008-04,2.749,
2008-07,2.928,
2008-10,2.931,
2009-01,2.762,
2009-04,2.951,
2009-07,3.159,
2009-10,3.309,
2010-01,3.218,
2010-04,3.323,
2010-07,3.371,
2010-10,3.334,
2011-01,3.259,
2011-04,3.238,
2011-07,3.195,
2011-10,3.175,
2012-01,3.227,
2012-04,3.338,
2012-07,3.333,
2012-10,3.364,
2013-01,3.385,
2013-04,3.444,
2013-07,3.492,
2013-10,3.442,
2014-01,3.360,
2014-04,3.284,
2014-07,3.247,
