"",BBK01.CEFJ50,BBK01.CEFJ50_FLAGS
"",Unlisted shares                                       debtor: OFI           creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:04,
1999-01,14.4,
1999-04,13.7,
1999-07,11.3,
1999-10,15.1,
2000-01,16.7,
2000-04,15.5,
2000-07,14.4,
2000-10,12.8,
2001-01,9.9,
2001-04,9.6,
2001-07,8.3,
2001-10,8.9,
2002-01,9.6,
2002-04,9.1,
2002-07,6.2,
2002-10,5.7,
2003-01,9.8,
2003-04,9.0,
2003-07,4.0,
2003-10,2.9,
2004-01,3.2,
2004-04,3.4,
2004-07,3.1,
2004-10,3.1,
2005-01,3.5,
2005-04,4.6,
2005-07,6.0,
2005-10,1.6,
2006-01,3.5,
2006-04,4.1,
2006-07,10.2,
2006-10,10.3,
2007-01,11.8,
2007-04,5.8,
2007-07,8.1,
2007-10,7.5,
2008-01,6.1,
2008-04,10.3,
2008-07,7.6,
2008-10,6.8,
2009-01,10.9,
2009-04,6.5,
2009-07,6.6,
2009-10,20.9,
2010-01,22.0,
2010-04,21.5,
2010-07,10.0,
2010-10,9.6,
2011-01,10.3,
2011-04,10.3,
2011-07,8.3,
2011-10,9.5,
2012-01,10.1,
2012-04,9.8,
2012-07,10.6,
2012-10,10.3,
2013-01,11.5,
2013-04,11.4,
2013-07,11.6,
2013-10,11.8,
2014-01,12.8,
2014-04,12.8,
2014-07,16.4,
