"",BBSF2.M.1.P.00000.GEF01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.GEF01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Mixed funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:53,
2009-09,1272,
2009-10,1205,
2009-11,1061,
2009-12,1103,
2010-01,1239,
2010-02,1152,
2010-03,1229,
2010-04,1411,
2010-05,1621,
2010-06,1615,
2010-07,1824,
2010-08,1701,
2010-09,1814,
2010-10,1779,
2010-11,1796,
2010-12,1674,
2011-01,1782,
2011-02,1853,
2011-03,2440,
2011-04,2300,
2011-05,2278,
2011-06,2649,
2011-07,2060,
2011-08,2250,
2011-09,2429,
2011-10,2453,
2011-11,2388,
2011-12,2323,
2012-01,2196,
2012-02,2200,
2012-03,2115,
2012-04,2531,
2012-05,2088,
2012-06,2215,
2012-07,1988,
2012-08,2135,
2012-09,1644,
2012-10,1569,
2012-11,1602,
2012-12,1458,
2013-01,1506,
2013-02,1732,
2013-03,1684,
2013-04,1569,
2013-05,1704,
2013-06,1769,
2013-07,1847,
2013-08,1773,
2013-09,1574,
2013-10,1457,
2013-11,1441,
2013-12,1746,
2014-01,1604,
2014-02,1487,
2014-03,1736,
2014-04,1600,
2014-05,1718,
2014-06,1495,
2014-07,1520,
2014-08,1459,
2014-09,1447,
2014-10,1498,
2014-11,1294,
