"",BBK01.OEYM04M,BBK01.OEYM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:51,
2002-01,0.705,
2002-04,0.696,
2002-07,0.685,
2002-10,0.472,
2003-01,0.383,
2003-04,0.643,
2003-07,0.266,
2003-10,0.304,
2004-01,0.252,
2004-04,0.401,
2004-07,0.258,
2004-10,0.373,
2005-01,0.175,
2005-04,0.210,
2005-07,0.198,
2005-10,0.260,
2006-01,0.592,
2006-04,0.246,
2006-07,0.684,
2006-10,0.683,
2007-01,0.290,
2007-04,0.482,
2007-07,0.684,
2007-10,1.280,
2008-01,1.652,
2008-04,1.673,
2008-07,1.744,
2008-10,2.977,
2009-01,1.861,
2009-04,2.091,
2009-07,0.785,
2009-10,1.265,
2010-01,0.872,
2010-04,2.148,
2010-07,1.812,
2010-10,1.436,
2011-01,1.841,
2011-04,2.426,
2011-07,2.377,
2011-10,3.052,
2012-01,2.051,
2012-04,3.283,
2012-07,3.142,
2012-10,2.005,
2013-01,1.391,
2013-04,3.381,
2013-07,2.102,
2013-10,2.461,
2014-01,4.112,
2014-04,3.474,
2014-07,4.732,
