"",BBK01.OECB19I,BBK01.OECB19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:05,
2002-01,0.135,
2002-04,0.130,
2002-07,0.131,
2002-10,0.124,
2003-01,0.121,
2003-04,0.123,
2003-07,0.123,
2003-10,0.123,
2004-01,0.108,
2004-04,0.101,
2004-07,0.097,
2004-10,0.093,
2005-01,0.125,
2005-04,0.129,
2005-07,0.125,
2005-10,0.121,
2006-01,0.119,
2006-04,0.118,
2006-07,0.112,
2006-10,0.106,
2007-01,0.102,
2007-04,0.101,
2007-07,0.110,
2007-10,0.104,
2008-01,0.098,
2008-04,0.089,
2008-07,0.094,
2008-10,0.083,
2009-01,0.084,
2009-04,0.082,
2009-07,0.086,
2009-10,0.082,
2010-01,0.083,
2010-04,0.092,
2010-07,0.110,
2010-10,0.104,
2011-01,0.103,
2011-04,0.103,
2011-07,0.107,
2011-10,0.112,
2012-01,0.124,
2012-04,0.127,
2012-07,0.124,
2012-10,0.140,
2013-01,0.137,
2013-04,0.135,
2013-07,0.127,
2013-10,0.123,
2014-01,0.122,
2014-04,0.123,
2014-07,0.117,
