"",BBDE1.M.DE.Y.AEB1.A2R260050.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2R260050.F.V.I10.A_FLAGS
"","Orders received from the domestic market / At current prices, flows / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:38,
1991-01,114.9,
1991-02,108.3,
1991-03,106.9,
1991-04,111.5,
1991-05,107.1,
1991-06,108.6,
1991-07,99.8,
1991-08,119.2,
1991-09,101.4,
1991-10,108.2,
1991-11,106.7,
1991-12,101.8,
1992-01,108.1,
1992-02,111.0,
1992-03,115.9,
1992-04,121.2,
1992-05,118.5,
1992-06,106.5,
1992-07,107.4,
1992-08,104.7,
1992-09,113.0,
1992-10,100.0,
1992-11,96.8,
1992-12,100.4,
1993-01,101.0,
1993-02,100.3,
1993-03,92.8,
1993-04,87.8,
1993-05,88.0,
1993-06,89.3,
1993-07,94.8,
1993-08,95.4,
1993-09,104.8,
1993-10,94.2,
1993-11,88.1,
1993-12,94.8,
1994-01,92.1,
1994-02,90.0,
1994-03,89.8,
1994-04,88.6,
1994-05,90.2,
1994-06,91.1,
1994-07,92.3,
1994-08,91.8,
1994-09,99.5,
1994-10,96.1,
1994-11,94.5,
1994-12,108.2,
1995-01,94.0,
1995-02,96.5,
1995-03,95.5,
1995-04,97.0,
1995-05,91.1,
1995-06,96.9,
1995-07,94.6,
1995-08,95.2,
1995-09,98.8,
1995-10,83.5,
1995-11,90.4,
1995-12,97.4,
1996-01,96.2,
1996-02,93.8,
1996-03,94.2,
1996-04,94.7,
1996-05,92.5,
1996-06,99.4,
1996-07,99.3,
1996-08,91.9,
1996-09,93.4,
1996-10,96.6,
1996-11,98.1,
1996-12,98.2,
1997-01,95.5,
1997-02,91.8,
1997-03,93.8,
1997-04,96.3,
1997-05,94.3,
1997-06,97.0,
1997-07,94.3,
1997-08,92.4,
1997-09,92.2,
1997-10,92.7,
1997-11,96.4,
1997-12,93.3,
1998-01,98.1,
1998-02,98.7,
1998-03,98.6,
1998-04,97.1,
