"",BBK01.OXA8I5,BBK01.OXA8I5_FLAGS
"",Loans to domestic households with an original maturity of more than one year and with a remaining maturity up to and including one year - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:21,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,57.117,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,57.428,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,37.695,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,37.003,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,36.385,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,38.724,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,38.194,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,38.121,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,37.377,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,39.431,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,40.758,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,42.728,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,43.054,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,44.710,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,44.854,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,43.539,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,45.152,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,44.278,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,45.247,Provisional value
