"",BBFN1.M.DE.N.1.A.BR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:24,
1975-12,0.025,
1976-01,0.027,
1976-02,0.042,
1976-03,0.028,
1976-04,0.025,
1976-05,0.024,
1976-06,0.026,
1976-07,0.027,
1976-08,0.034,
1976-09,0.042,
1976-10,0.031,
1976-11,0.050,
1976-12,0.032,
1977-01,0.037,
1977-02,0.040,
1977-03,0.038,
1977-04,0.037,
1977-05,0.037,
1977-06,0.032,
1977-07,0.038,
1977-08,0.040,
1977-09,0.052,
1977-10,0.031,
1977-11,0.033,
1977-12,0.031,
1978-01,0.043,
1978-02,0.047,
1978-03,0.044,
1978-04,0.047,
1978-05,0.039,
1978-06,0.038,
1978-07,0.030,
1978-08,0.029,
1978-09,0.029,
1978-10,0.029,
1978-11,0.030,
1978-12,0.036,
1979-01,0.039,
1979-02,0.033,
1979-03,0.036,
1979-04,0.036,
1979-05,0.029,
1979-06,0.026,
1979-07,0.023,
1979-08,0.021,
1979-09,0.022,
1979-10,0.025,
1979-11,0.025,
1979-12,0.020,
1980-01,0.019,
1980-02,0.019,
1980-03,0.022,
1980-04,0.022,
1980-05,0.028,
1980-06,0.025,
1980-07,0.019,
1980-08,0.017,
1980-09,0.019,
1980-10,0.018,
1980-11,0.019,
1980-12,0.018,
1981-01,0.019,
1981-02,0.024,
1981-03,0.021,
1981-04,0.020,
1981-05,0.021,
1981-06,0.025,
1981-07,0.041,
1981-08,0.037,
1981-09,0.074,
1981-10,0.078,
1981-11,0.077,
1981-12,0.085,
1982-01,0.081,
1982-02,0.075,
1982-03,0.063,
1982-04,0.073,
1982-05,0.073,
1982-06,0.069,
1982-07,0.072,
1982-08,0.072,
1982-09,0.094,
1982-10,0.094,
1982-11,0.092,
1982-12,0.089,
1983-01,0.092,
1983-02,0.091,
1983-03,0.089,
1983-04,0.091,
1983-05,0.101,
1983-06,0.118,
1983-07,0.122,
1983-08,0.117,
1983-09,0.105,
1983-10,0.068,
1983-11,0.075,
1983-12,0.047,
1984-01,0.052,
1984-02,0.055,
1984-03,0.063,
1984-04,0.062,
1984-05,0.060,
1984-06,0.063,
1984-07,0.055,
1984-08,0.066,
1984-09,0.064,
1984-10,0.076,
1984-11,0.076,
1984-12,0.046,
