"",BBFB1.Q.N.DE.E14000.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:24,
1991-01,1178.859,
1991-04,1502.876,
1991-07,1481.242,
1991-10,1317.536,
1992-01,1385.570,
1992-04,1473.792,
1992-07,1596.489,
1992-10,1546.323,
1993-01,1449.361,
1993-04,1624.017,
1993-07,1570.168,
1993-10,1487.969,
1994-01,1740.492,
1994-04,1798.088,
1994-07,1851.240,
1994-10,1926.378,
1995-01,1776.602,
1995-04,1811.173,
1995-07,1761.963,
1995-10,1694.511,
1996-01,1499.496,
1996-04,1820.987,
1996-07,1715.057,
1996-10,1611.634,
1997-01,1656.273,
1997-04,1974.308,
1997-07,1759.947,
1997-10,1514.780,
1998-01,1525.183,
1998-04,2082.623,
1998-07,1846.344,
1998-10,1867.696,
1999-01,1611.581,
1999-04,2044.590,
1999-07,2133.944,
1999-10,2477.108,
2000-01,1800.902,
2000-04,2463.944,
2000-07,2291.258,
2000-10,1878.777,
2001-01,2197.448,
2001-04,2720.627,
2001-07,2084.916,
2001-10,2022.450,
2002-01,1742.725,
2002-04,2009.924,
2002-07,1766.701,
2002-10,1796.657,
2003-01,2166.259,
2003-04,3068.908,
2003-07,2115.867,
2003-10,2142.706,
2004-01,2276.054,
2004-04,2510.226,
2004-07,2037.169,
2004-10,2150.967,
2005-01,2148.427,
2005-04,2761.577,
2005-07,2350.024,
2005-10,2573.857,
2006-01,2750.525,
2006-04,3556.617,
2006-07,2936.251,
2006-10,3168.410,
2007-01,3134.426,
2007-04,3817.950,
2007-07,2882.810,
2007-10,2396.469,
2008-01,1998.162,
2008-04,3192.479,
2008-07,2273.653,
2008-10,1867.986,
2009-01,1738.990,
2009-04,2658.436,
2009-07,1989.018,
2009-10,2514.910,
2010-01,1992.347,
2010-04,3143.867,
2010-07,1955.171,
2010-10,2010.210,
2011-01,2922.426,
2011-04,4352.029,
2011-07,2861.595,
2011-10,2989.113,
2012-01,3057.073,
2012-04,4369.019,
2012-07,2929.309,
2012-10,2764.376,
2013-01,2459.018,
2013-04,3658.708,
2013-07,2172.133,
2013-10,2153.108,
2014-01,2276.214,Provisional value
2014-04,3735.993,Provisional value
2014-07,2209.958,Provisional value
