"",BBK01.OEAA04K,BBK01.OEAA04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:54,
2002-01,0.290,
2002-04,0.298,
2002-07,0.326,
2002-10,0.359,
2003-01,0.398,
2003-04,0.509,
2003-07,0.536,
2003-10,0.517,
2004-01,0.293,
2004-04,0.244,
2004-07,0.351,
2004-10,0.301,
2005-01,0.215,
2005-04,0.290,
2005-07,0.221,
2005-10,0.223,
2006-01,0.163,
2006-04,0.191,
2006-07,0.230,
2006-10,0.352,
2007-01,0.292,
2007-04,0.289,
2007-07,0.240,
2007-10,0.186,
2008-01,0.102,
2008-04,0.070,
2008-07,0.073,
2008-10,0.070,
2009-01,0.055,
2009-04,0.073,
2009-07,0.069,
2009-10,0.072,
2010-01,0.080,
2010-04,0.071,
2010-07,0.067,
2010-10,0.045,
2011-01,0.035,
2011-04,0.027,
2011-07,0.009,
2011-10,0.030,
2012-01,0.003,
2012-04,0.003,
2012-07,0.001,
2012-10,0.026,
2013-01,0.002,
2013-04,0.001,
2013-07,0.001,
2013-10,0.033,
2014-01,0.001,
2014-04,-,Nothing exists
2014-07,-,Nothing exists
