"",BBK01.OEAA45P,BBK01.OEAA45P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:05,
2002-01,1.352,
2002-04,1.332,
2002-07,1.334,
2002-10,1.494,
2003-01,1.546,
2003-04,1.534,
2003-07,1.535,
2003-10,1.527,
2004-01,1.527,
2004-04,1.533,
2004-07,1.608,
2004-10,1.618,
2005-01,1.739,
2005-04,1.796,
2005-07,1.848,
2005-10,1.867,
2006-01,1.793,
2006-04,1.796,
2006-07,1.776,
2006-10,2.011,
2007-01,2.009,
2007-04,1.981,
2007-07,2.010,
2007-10,2.024,
2008-01,2.028,
2008-04,2.007,
2008-07,1.991,
2008-10,2.006,
2009-01,2.009,
2009-04,1.989,
2009-07,1.954,
2009-10,2.122,
2010-01,2.142,
2010-04,2.343,
2010-07,2.414,
2010-10,2.554,
2011-01,2.631,
2011-04,2.608,
2011-07,2.682,
2011-10,2.962,
2012-01,3.011,
2012-04,3.072,
2012-07,3.065,
2012-10,3.046,
2013-01,3.012,
2013-04,2.945,
2013-07,2.907,
2013-10,2.922,
2014-01,2.969,
2014-04,2.741,
2014-07,2.732,
