"",BBK01.OEAH65G,BBK01.OEAH65G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:29,
2002-01,2.545,
2002-04,2.499,
2002-07,2.498,
2002-10,2.548,
2003-01,2.503,
2003-04,2.445,
2003-07,2.339,
2003-10,2.359,
2004-01,1.997,
2004-04,1.776,
2004-07,1.661,
2004-10,1.663,
2005-01,1.577,
2005-04,1.624,
2005-07,1.624,
2005-10,1.891,
2006-01,2.186,
2006-04,2.467,
2006-07,2.855,
2006-10,3.524,
2007-01,4.170,
2007-04,4.987,
2007-07,5.896,
2007-10,7.142,
2008-01,7.935,
2008-04,8.741,
2008-07,9.290,
2008-10,11.096,
2009-01,10.696,
2009-04,9.100,
2009-07,7.352,
2009-10,5.575,
2010-01,4.450,
2010-04,3.901,
2010-07,3.693,
2010-10,3.733,
2011-01,3.669,
2011-04,3.778,
2011-07,3.905,
2011-10,4.467,
2012-01,4.479,
2012-04,4.302,
2012-07,3.898,
2012-10,3.583,
2013-01,3.132,
2013-04,2.632,
2013-07,2.337,
2013-10,2.310,
2014-01,2.073,
2014-04,1.945,
2014-07,1.685,
