"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:48,
1999-10,638410,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,731054,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,817143,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,956404,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,989858,
2004-01,1073768,
2004-04,1069352,
2004-07,1131072,
2004-10,1154828,
2005-01,1203475,
2005-04,1320013,
2005-07,1332997,
2005-10,1336735,
2006-01,1325559,
2006-04,1290569,
2006-07,1338492,
2006-10,1354879,
2007-01,1379883,
2007-04,1401713,
2007-07,1439972,
2007-10,1497813,
2008-01,1522833,
2008-04,1488322,
2008-07,1554916,
2008-10,1618702,
2009-01,1595526,
2009-04,1569426,
2009-07,1573645,
2009-10,1551985,
2010-01,1623255,
2010-04,1720507,
2010-07,1744761,
2010-10,1666087,
2011-01,1626730,
2011-04,1684113,
2011-07,1818744,
2011-10,1835796,
2012-01,1858288,
2012-04,1905094,
2012-07,1927602,
2012-10,1937560,
2013-01,1931233,
2013-04,1841519,
2013-07,1801305,
2013-10,1774340,
2014-01,1827519,
2014-04,1876528,
2014-07,1918089,
