"",BBEX3.M.GMD.USD.CA.AC.A01,BBEX3.M.GMD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Gambia / USD 1 = GMD ... (middle),
unit,GMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:35,
1986-01,5.275,
1986-02,6.160,
1986-03,6.965,
1986-04,7.010,
1986-05,7.400,
1986-06,7.440,
1986-07,7.580,
1986-08,7.250,
1986-09,7.390,
1986-10,7.715,
1986-11,7.535,
1986-12,7.545,
1987-01,7.450,
1987-02,7.310,
1987-03,7.425,
1987-04,6.985,
1987-05,7.125,
1987-06,7.150,
1987-07,7.170,
1987-08,7.250,
1987-09,7.330,
1987-10,7.310,
1987-11,6.815,
1987-12,6.735,
1988-01,6.690,
1988-02,6.775,
1988-03,6.425,
1988-04,6.550,
1988-05,6.580,
1988-06,7.000,
1988-07,7.150,
1988-08,7.150,
1988-09,7.300,
1988-10,6.950,
1988-11,6.725,
1988-12,6.950,
1989-01,7.050,
1989-02,7.050,
1989-03,7.350,
1989-04,7.300,
1989-05,7.800,
1989-06,7.900,
1989-07,7.450,
1989-08,7.800,
1989-09,8.200,
1989-10,8.450,
1989-11,8.450,
1989-12,8.350,
1990-01,8.250,
1990-02,8.050,
1990-03,8.500,
1990-04,8.500,
1990-05,8.500,
1990-06,8.200,
1990-07,7.775,
1990-08,7.325,
1990-09,7.625,
1990-10,7.325,
1990-11,7.300,
1990-12,7.500,
1991-01,7.650,
1991-02,7.900,
1991-03,8.500,
1991-04,8.950,
1991-05,8.900,
1991-06,9.500,
1991-07,9.200,
1991-08,9.150,
1991-09,9.250,
1991-10,9.400,
1991-11,9.050,
1991-12,8.550,
1992-01,8.950,
1992-02,9.100,
1992-03,9.300,
1992-04,9.100,
1992-05,9.000,
1992-06,8.500,
1992-07,8.550,
1992-08,8.300,
1992-09,8.750,
1992-10,9.100,
1992-11,9.250,
1992-12,9.350,
1993-01,8.900,
1993-02,8.975,
1993-03,9.050,
1993-04,8.625,
1993-05,8.700,
1993-06,8.900,
1993-07,9.100,
1993-08,9.300,
1993-09,9.400,
1993-10,9.400,
1993-11,9.400,
1993-12,9.550,
1994-01,9.625,
1994-02,9.675,
1994-03,9.700,
1994-04,9.750,
1994-05,9.550,
1994-06,9.550,
1994-07,9.475,
1994-08,9.500,
1994-09,9.425,
1994-10,9.475,
1994-11,9.525,
1994-12,9.575,
1995-01,9.525,
1995-02,9.475,
1995-03,9.375,
1995-04,9.425,
1995-05,9.525,
1995-06,9.525,
1995-07,9.525,
1995-08,9.575,
1995-09,9.625,
1995-10,9.625,
1995-11,9.625,
1995-12,9.650,
1996-01,9.650,
1996-02,9.725,
1996-03,9.775,
1996-04,9.775,
1996-05,9.900,
1996-06,9.800,
1996-07,9.800,
1996-08,9.800,
1996-09,9.825,
