"",BBK01.OEAA24K,BBK01.OEAA24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:02,
2002-01,0.269,
2002-04,0.265,
2002-07,0.266,
2002-10,0.279,
2003-01,0.273,
2003-04,0.379,
2003-07,0.381,
2003-10,0.453,
2004-01,0.950,
2004-04,0.953,
2004-07,0.917,
2004-10,0.900,
2005-01,1.068,
2005-04,1.137,
2005-07,1.141,
2005-10,1.196,
2006-01,1.160,
2006-04,1.266,
2006-07,1.255,
2006-10,1.273,
2007-01,1.234,
2007-04,1.224,
2007-07,1.212,
2007-10,1.199,
2008-01,1.157,
2008-04,1.142,
2008-07,1.126,
2008-10,0.938,
2009-01,0.931,
2009-04,0.914,
2009-07,0.924,
2009-10,0.996,
2010-01,1.036,
2010-04,1.060,
2010-07,1.104,
2010-10,1.105,
2011-01,1.234,
2011-04,1.424,
2011-07,1.557,
2011-10,1.740,
2012-01,1.756,
2012-04,2.417,
2012-07,2.498,
2012-10,2.877,
2013-01,3.048,
2013-04,3.172,
2013-07,3.200,
2013-10,3.475,
2014-01,3.506,
2014-04,3.831,
2014-07,3.963,
