"",BBK01.OEXB02S,BBK01.OEXB02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:59,
2002-01,0.311,
2002-04,0.324,
2002-07,0.334,
2002-10,0.347,
2003-01,0.353,
2003-04,0.392,
2003-07,0.394,
2003-10,0.403,
2004-01,0.426,
2004-04,0.422,
2004-07,0.400,
2004-10,0.420,
2005-01,0.438,
2005-04,0.425,
2005-07,0.426,
2005-10,0.402,
2006-01,0.374,
2006-04,0.372,
2006-07,0.375,
2006-10,0.347,
2007-01,0.375,
2007-04,0.354,
2007-07,0.367,
2007-10,0.368,
2008-01,0.357,
2008-04,0.301,
2008-07,0.307,
2008-10,0.345,
2009-01,0.358,
2009-04,0.369,
2009-07,0.401,
2009-10,0.348,
2010-01,0.340,
2010-04,0.353,
2010-07,0.313,
2010-10,0.318,
2011-01,0.286,
2011-04,0.296,
2011-07,0.300,
2011-10,0.329,
2012-01,0.296,
2012-04,0.295,
2012-07,0.282,
2012-10,0.310,
2013-01,0.262,
2013-04,0.304,
2013-07,0.342,
2013-10,0.325,
2014-01,0.368,
2014-04,0.429,
2014-07,0.424,
