"",BBK01.OEYB17U,BBK01.OEYB17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:56,
2002-01,0.251,
2002-04,0.266,
2002-07,0.285,
2002-10,0.303,
2003-01,0.312,
2003-04,0.326,
2003-07,0.341,
2003-10,0.353,
2004-01,0.358,
2004-04,0.317,
2004-07,0.319,
2004-10,0.324,
2005-01,0.326,
2005-04,0.327,
2005-07,0.330,
2005-10,0.331,
2006-01,0.334,
2006-04,0.333,
2006-07,0.334,
2006-10,0.337,
2007-01,0.337,
2007-04,0.336,
2007-07,0.336,
2007-10,0.331,
2008-01,0.331,
2008-04,0.333,
2008-07,0.332,
2008-10,0.330,
2009-01,0.328,
2009-04,0.327,
2009-07,0.328,
2009-10,0.307,
2010-01,0.306,
2010-04,0.306,
2010-07,0.306,
2010-10,0.266,
2011-01,0.284,
2011-04,0.282,
2011-07,0.284,
2011-10,0.276,
2012-01,0.276,
2012-04,0.264,
2012-07,0.266,
2012-10,0.253,
2013-01,0.309,
2013-04,0.308,
2013-07,0.307,
2013-10,0.298,
2014-01,0.299,
2014-04,0.298,
2014-07,0.243,
