"",BBK01.OEAI02N,BBK01.OEAI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:13,
2002-01,113.005,
2002-04,119.659,
2002-07,117.130,
2002-10,126.657,
2003-01,126.384,
2003-04,128.467,
2003-07,128.915,
2003-10,136.689,
2004-01,135.289,
2004-04,132.132,
2004-07,132.596,
2004-10,115.300,
2005-01,124.804,
2005-04,129.112,
2005-07,126.365,
2005-10,132.750,
2006-01,130.092,
2006-04,134.869,
2006-07,128.385,
2006-10,136.269,
2007-01,135.329,
2007-04,137.327,
2007-07,140.584,
2007-10,141.623,
2008-01,142.861,
2008-04,143.071,
2008-07,141.852,
2008-10,155.366,
2009-01,165.665,
2009-04,178.681,
2009-07,183.872,
2009-10,195.010,
2010-01,194.356,
2010-04,218.754,
2010-07,203.867,
2010-10,202.332,
2011-01,200.945,
2011-04,209.176,
2011-07,205.480,
2011-10,219.106,
2012-01,222.384,
2012-04,229.207,
2012-07,226.167,
2012-10,231.785,
2013-01,233.519,
2013-04,242.732,
2013-07,245.482,
2013-10,250.319,
2014-01,252.056,
2014-04,251.774,
2014-07,258.479,
