"",BBFN1.M.DE.N.1.A.KY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2005-12,0.105,
2006-01,0.191,
2006-02,0.246,
2006-03,0.157,
2006-04,0.160,
2006-05,0.195,
2006-06,0.176,
2006-07,0.145,
2006-08,0.174,
2006-09,0.149,
2006-10,0.216,
2006-11,0.201,
2006-12,0.201,
2007-01,0.241,
2007-02,0.267,
2007-03,0.228,
2007-04,0.389,
2007-05,0.357,
2007-06,0.199,
2007-07,0.253,
2007-08,0.215,
2007-09,0.208,
2007-10,0.240,
2007-11,0.226,
2007-12,0.191,
2008-01,0.100,
2008-02,0.103,
2008-03,0.091,
2008-04,0.094,
2008-05,0.098,
2008-06,0.099,
2008-07,0.143,
2008-08,0.104,
2008-09,0.119,
2008-10,0.130,
2008-11,0.131,
2008-12,0.114,
2009-01,0.113,
2009-02,0.111,
2009-03,0.136,
2009-04,0.138,
2009-05,0.111,
2009-06,0.212,
2009-07,0.151,
2009-08,0.124,
2009-09,0.365,
2009-10,0.105,
2009-11,0.107,
2009-12,0.088,
2010-01,0.090,
2010-02,0.065,
2010-03,0.073,
2010-04,0.071,
2010-05,0.072,
2010-06,0.023,
2010-07,0.123,
2010-08,0.071,
2010-09,0.019,
2010-10,0.120,
2010-11,0.024,
2010-12,0.014,
2011-01,0.062,
2011-02,0.079,
2011-03,0.069,
2011-04,0.117,
2011-05,0.133,
2011-06,0.065,
2011-07,0.066,
2011-08,0.068,
2011-09,0.058,
2011-10,0.011,
2011-11,0.258,
2011-12,0.050,
2012-01,0.123,
2012-02,0.131,
2012-03,0.092,
2012-04,0.096,
2012-05,0.085,
2012-06,0.077,
2012-07,0.169,
2012-08,0.105,
2012-09,0.098,
2012-10,0.140,
2012-11,0.119,
2012-12,0.063,
2013-01,0.078,
2013-02,0.078,
2013-03,0.074,
2013-04,0.063,
2013-05,0.012,
2013-06,0.011,
2013-07,0.028,
2013-08,0.015,
2013-09,0.009,
2013-10,0.007,
2013-11,0.007,
2013-12,0.013,
2014-01,0.012,
2014-02,0.013,
2014-03,0.014,
2014-04,0.032,
2014-05,0.033,
2014-06,0.022,
2014-07,0.032,
2014-08,0.034,
2014-09,0.025,
2014-10,0.035,
2014-11,0.027,
2014-12,0.022,
