"",BBDE1.M.DE.Y.GUD1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.GUD1.A2P310000.F.V.I10.A_FLAGS
"","Turnover from abroad, Euro-area countries / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:56,
2003-01,80.2,
2003-02,79.3,
2003-03,77.9,
2003-04,77.3,
2003-05,75.2,
2003-06,74.5,
2003-07,75.5,
2003-08,75.2,
2003-09,75.9,
2003-10,77.3,
2003-11,77.7,
2003-12,79.5,
2004-01,78.0,
2004-02,78.8,
2004-03,78.7,
2004-04,80.9,
2004-05,83.9,
2004-06,86.8,
2004-07,86.9,
2004-08,87.1,
2004-09,87.6,
2004-10,87.4,
2004-11,87.0,
2004-12,90.3,
2005-01,89.0,
2005-02,88.2,
2005-03,89.0,
2005-04,88.1,
2005-05,88.0,
2005-06,86.9,
2005-07,87.2,
2005-08,85.5,
2005-09,90.2,
2005-10,89.7,
2005-11,92.3,
2005-12,92.2,
2006-01,91.5,
2006-02,93.3,
2006-03,94.6,
2006-04,95.8,
2006-05,96.9,
2006-06,98.9,
2006-07,98.6,
2006-08,99.0,
2006-09,100.5,
2006-10,103.0,
2006-11,103.3,
2006-12,101.7,
2007-01,104.9,
2007-02,106.6,
2007-03,106.7,
2007-04,107.5,
2007-05,107.4,
2007-06,109.5,
2007-07,108.1,
2007-08,108.2,
2007-09,107.8,
2007-10,109.8,
2007-11,110.5,
2007-12,111.6,
2008-01,110.9,
2008-02,111.2,
2008-03,110.6,
2008-04,112.6,
2008-05,114.9,
2008-06,109.8,
2008-07,108.9,
2008-08,109.7,
2008-09,108.7,
2008-10,107.5,
2008-11,96.9,
2008-12,90.6,
2009-01,82.8,
2009-02,80.0,
2009-03,79.0,
2009-04,79.1,
2009-05,80.9,
2009-06,82.9,
2009-07,82.9,
2009-08,85.7,
2009-09,87.8,
2009-10,89.5,
2009-11,89.4,
2009-12,90.4,
2010-01,91.5,
2010-02,91.2,
2010-03,93.4,
2010-04,96.0,
2010-05,97.6,
2010-06,98.7,
2010-07,101.7,
2010-08,103.5,
2010-09,103.3,
2010-10,105.1,
2010-11,106.7,
2010-12,108.6,
2011-01,110.1,
2011-02,112.2,
2011-03,113.3,
2011-04,112.6,
2011-05,112.2,
2011-06,113.2,
2011-07,114.1,
2011-08,114.1,
2011-09,113.3,
2011-10,108.0,
2011-11,109.2,
2011-12,105.6,
2012-01,108.0,
2012-02,109.0,
2012-03,108.6,
2012-04,108.8,
2012-05,108.4,
2012-06,108.3,
2012-07,110.3,
2012-08,108.1,
2012-09,104.7,
2012-10,105.5,
2012-11,106.5,
2012-12,105.3,
2013-01,106.4,
2013-02,104.8,
2013-03,106.8,
2013-04,104.2,
2013-05,107.1,
2013-06,104.8,
2013-07,103.9,
2013-08,104.6,
2013-09,105.0,
2013-10,107.8,
2013-11,106.2,
2013-12,107.0,
2014-01,106.6,
2014-02,106.6,
2014-03,105.8,
2014-04,108.5,
2014-05,104.8,
2014-06,107.5,
2014-07,108.2,
2014-08,106.7,
2014-09,108.0,
2014-10,109.4,
2014-11,105.2,
2014-12,111.2,Provisional value
