"",BBK01.OEBK03R,BBK01.OEBK03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:06,
2002-01,0.095,
2002-04,0.095,
2002-07,0.084,
2002-10,0.087,
2003-01,0.071,
2003-04,0.066,
2003-07,0.064,
2003-10,0.066,
2004-01,0.058,
2004-04,0.054,
2004-07,0.051,
2004-10,0.049,
2005-01,0.046,
2005-04,0.046,
2005-07,0.045,
2005-10,0.043,
2006-01,0.041,
2006-04,0.043,
2006-07,0.048,
2006-10,0.053,
2007-01,0.054,
2007-04,0.085,
2007-07,0.061,
2007-10,0.075,
2008-01,0.081,
2008-04,0.100,
2008-07,0.106,
2008-10,0.098,
2009-01,0.069,
2009-04,0.069,
2009-07,0.051,
2009-10,0.030,
2010-01,0.027,
2010-04,0.023,
2010-07,0.021,
2010-10,0.020,
2011-01,0.021,
2011-04,0.015,
2011-07,0.017,
2011-10,0.021,
2012-01,0.027,
2012-04,0.024,
2012-07,0.021,
2012-10,0.018,
2013-01,0.015,
2013-04,0.015,
2013-07,0.013,
2013-10,0.013,
2014-01,0.011,
2014-04,0.010,
2014-07,0.010,
