"",BBFN1.M.DE.N.1.L.US.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / United States,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:53,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.575,
1995-01,3.246,
1995-02,3.227,
1995-03,3.445,
1995-04,3.303,
1995-05,3.317,
1995-06,3.390,
1995-07,3.259,
1995-08,3.220,
1995-09,3.422,
1995-10,3.616,
1995-11,3.667,
1995-12,3.801,
1996-01,3.721,
1996-02,3.526,
1996-03,3.523,
1996-04,3.703,
1996-05,3.785,
1996-06,3.897,
1996-07,3.975,
1996-08,3.614,
1996-09,3.828,
1996-10,3.840,
1996-11,3.746,
1996-12,4.662,
1997-01,4.407,
1997-02,4.298,
1997-03,4.623,
1997-04,4.929,
1997-05,4.149,
1997-06,4.603,
1997-07,4.470,
1997-08,4.163,
1997-09,4.405,
1997-10,4.401,
1997-11,4.467,
1997-12,5.312,
1998-01,5.072,
1998-02,4.827,
1998-03,5.139,
1998-04,5.166,
1998-05,4.921,
1998-06,5.743,
1998-07,4.802,
1998-08,4.743,
1998-09,5.292,
1998-10,5.273,
1998-11,5.220,
1998-12,5.534,
1999-01,5.242,
1999-02,5.211,
1999-03,5.366,
1999-04,5.842,
1999-05,5.410,
1999-06,5.431,
1999-07,5.393,
1999-08,5.469,
1999-09,5.281,
1999-10,5.464,
1999-11,5.924,
1999-12,6.126,
2000-01,6.197,
2000-02,5.888,
2000-03,6.438,
2000-04,6.294,
2000-05,6.438,
2000-06,6.801,
2000-07,7.062,
2000-08,6.842,
2000-09,6.867,
2000-10,7.184,
2000-11,7.124,
2000-12,7.804,
2001-01,7.109,
2001-02,6.971,
2001-03,7.495,
2001-04,7.085,
2001-05,6.958,
2001-06,7.702,
2001-07,7.022,
2001-08,6.925,
2001-09,7.335,
2001-10,7.351,
2001-11,7.312,
2001-12,8.772,
2002-01,7.816,
2002-02,7.379,
2002-03,7.432,
2002-04,6.964,
2002-05,7.003,
2002-06,7.196,
2002-07,6.635,
2002-08,6.465,
2002-09,7.083,
2002-10,7.075,
2002-11,7.331,
2002-12,8.053,
2003-01,7.266,
2003-02,7.256,
2003-03,7.621,
2003-04,7.135,
2003-05,6.361,
2003-06,6.838,
2003-07,6.157,
2003-08,5.911,
2003-09,6.825,
2003-10,6.959,
2003-11,6.784,
2003-12,6.971,
2004-01,6.037,
2004-02,5.962,
2004-03,6.467,
2004-04,6.391,
2004-05,5.937,
2004-06,6.422,
2004-07,6.139,
2004-08,5.757,
2004-09,6.177,
2004-10,5.873,
2004-11,5.850,
2004-12,6.281,
2005-01,5.531,
2005-02,5.363,
2005-03,5.992,
2005-04,5.407,
2005-05,5.693,
2005-06,6.326,
2005-07,5.915,
2005-08,6.154,
2005-09,6.216,
2005-10,6.255,
2005-11,6.740,
2005-12,7.348,
2006-01,6.303,
2006-02,6.329,
2006-03,6.857,
2006-04,6.323,
2006-05,6.432,
2006-06,6.842,
2006-07,6.181,
2006-08,6.078,
2006-09,6.688,
2006-10,6.724,
2006-11,6.542,
2006-12,7.319,
2007-01,6.967,
2007-02,6.692,
2007-03,7.390,
2007-04,6.704,
2007-05,6.804,
2007-06,7.486,
2007-07,6.781,
2007-08,6.817,
2007-09,7.086,
2007-10,7.565,
2007-11,7.822,
2007-12,7.999,
2008-01,7.207,
2008-02,7.936,
2008-03,7.602,
2008-04,7.566,
2008-05,7.665,
2008-06,7.852,
2008-07,7.187,
2008-08,7.222,
2008-09,7.389,
2008-10,7.907,
2008-11,7.963,
2008-12,8.607,
2009-01,6.977,
2009-02,7.290,
2009-03,7.192,
2009-04,6.900,
2009-05,6.796,
2009-06,7.282,
2009-07,6.659,
2009-08,6.936,
2009-09,6.888,
2009-10,6.667,
2009-11,6.961,
2009-12,6.928,
2010-01,6.769,
2010-02,6.756,
2010-03,7.218,
2010-04,6.753,
2010-05,7.213,
2010-06,7.570,
2010-07,7.149,
2010-08,7.339,
2010-09,7.801,
2010-10,7.708,
2010-11,7.941,
2010-12,8.583,
2011-01,7.687,
2011-02,7.691,
2011-03,7.465,
2011-04,7.366,
2011-05,7.287,
2011-06,7.449,
2011-07,7.195,
2011-08,6.803,
2011-09,7.463,
2011-10,7.495,
2011-11,7.284,
2011-12,8.715,
2012-01,7.518,
2012-02,7.347,
2012-03,7.843,
2012-04,7.688,
2012-05,7.533,
2012-06,8.260,
2012-07,7.637,
2012-08,7.480,
2012-09,8.243,
2012-10,8.075,
2012-11,8.986,
2012-12,9.097,
2013-01,8.282,
2013-02,8.716,
2013-03,8.750,
2013-04,8.631,
2013-05,8.446,
2013-06,8.639,
2013-07,8.104,
2013-08,7.628,
2013-09,9.214,
2013-10,9.012,
2013-11,8.784,
2013-12,9.262,
2014-01,8.386,
2014-02,8.597,
2014-03,9.303,
2014-04,9.240,
2014-05,8.971,
2014-06,9.150,
2014-07,8.809,
2014-08,9.022,
2014-09,9.610,
2014-10,9.314,
2014-11,9.113,
2014-12,9.936,
