"",BBK01.OELL05V,BBK01.OELL05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:11,
2002-01,0.091,
2002-04,0.091,
2002-07,0.097,
2002-10,0.100,
2003-01,0.091,
2003-04,0.092,
2003-07,0.091,
2003-10,0.097,
2004-01,0.083,
2004-04,0.082,
2004-07,0.084,
2004-10,0.126,
2005-01,0.126,
2005-04,0.128,
2005-07,0.126,
2005-10,0.134,
2006-01,0.132,
2006-04,0.136,
2006-07,0.147,
2006-10,0.130,
2007-01,0.136,
2007-04,0.133,
2007-07,0.135,
2007-10,0.141,
2008-01,0.134,
2008-04,0.126,
2008-07,0.132,
2008-10,0.132,
2009-01,0.121,
2009-04,0.111,
2009-07,0.112,
2009-10,0.127,
2010-01,0.118,
2010-04,0.114,
2010-07,0.117,
2010-10,0.107,
2011-01,0.109,
2011-04,0.134,
2011-07,0.146,
2011-10,0.156,
2012-01,0.161,
2012-04,0.160,
2012-07,0.153,
2012-10,0.157,
2013-01,0.252,
2013-04,0.257,
2013-07,0.255,
2013-10,0.257,
2014-01,0.273,
2014-04,0.265,
2014-07,0.261,
