"",BBEX3.M.TTD.USD.CA.AB.A01,BBEX3.M.TTD.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Trinidad and Tobago / USD 1 = TTD ... (selling),
unit,TTD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:38,
1993-04,5.78672,comment
1993-05,5.76655,
1993-06,5.73992,
1993-07,5.68382,
1993-08,5.65110,
1993-09,5.78924,
1993-10,5.75961,
1993-11,5.78713,
1993-12,5.87781,
1994-01,5.86037,
1994-02,5.85703,
1994-03,5.87796,
1994-04,5.97910,
1994-05,5.97739,
1994-06,5.92364,
1994-07,5.94547,
1994-08,5.93446,
1994-09,5.94250,
1994-10,5.94750,
1994-11,5.92360,
1994-12,5.93320,
1995-01,5.93870,
1995-02,5.96980,
1995-03,5.96540,
1995-04,5.95950,
1995-05,5.93390,
1995-06,5.92110,
1995-07,5.92870,
1995-08,5.95270,
1995-09,5.93910,
1995-10,5.93390,
1995-11,5.98740,
1995-12,5.99710,
1996-01,5.99970,
1996-02,5.99990,
1996-03,5.99630,
1996-04,5.97360,
1996-05,5.94880,
1996-06,5.96840,
1996-07,5.98940,
1996-08,5.99990,
1996-09,6.08350,
1996-10,6.05940,
1996-11,6.20760,
1996-12,6.24090,
1997-01,6.21560,
1997-02,6.25470,
1997-03,6.26820,
1997-04,6.27820,
1997-05,6.29790,
1997-06,6.29800,
1997-07,6.29940,
1997-08,6.29740,
1997-09,6.29650,
1997-10,6.29980,
1997-11,6.29980,
1997-12,6.29990,
1998-01,6.29990,
1998-02,6.29960,
1998-03,6.29970,
1998-04,6.29970,
1998-05,6.29980,
1998-06,6.29980,
1998-07,6.29600,
1998-08,6.29500,
1998-09,6.29980,
1998-10,6.29980,
1998-11,6.29600,
1998-12,6.29650,
1999-01,6.29990,
1999-02,6.29970,
1999-03,6.29980,
1999-04,6.29990,
1999-05,6.29980,
1999-06,6.29970,
1999-07,6.29980,
1999-08,6.29980,
1999-09,6.29980,
1999-10,6.29980,
1999-11,6.29980,
1999-12,6.29990,
2000-01,6.29970,
2000-02,6.29990,
2000-03,6.29990,
2000-04,6.29980,
2000-05,6.29980,
2000-06,6.29980,
2000-07,6.29980,
2000-08,6.29970,
2000-09,6.29980,
2000-10,6.29980,
2000-11,6.29950,
2000-12,6.29960,
2001-01,6.29630,
2001-02,6.29120,
2001-03,6.28840,
2001-04,6.25960,
2001-05,6.26090,
2001-06,6.19050,
2001-07,6.15900,
2001-08,6.13910,
2001-09,6.13880,
2001-10,6.17590,
2001-11,6.26710,
2001-12,6.29020,
2002-01,6.27930,
2002-02,6.29090,
2002-03,6.28210,
2002-04,6.24890,
2002-05,6.19270,
2002-06,6.15050,
2002-07,6.14610,
2002-08,6.21540,
2002-09,6.27460,
2002-10,6.29520,
2002-11,6.29990,
2002-12,6.29990,
2003-01,6.29960,comment
2003-02,6.29220,
2003-03,6.29650,comment
2003-04,6.29910,
2003-05,6.29430,
2003-06,6.29210,
2003-07,6.29190,
2003-08,6.29070,
2003-09,6.29770,comment
2003-10,6.29980,
2003-11,6.29980,
2003-12,6.29980,
2004-01,6.29980,
2004-02,6.29960,
2004-03,6.29980,
2004-04,6.29470,
2004-05,6.29980,
2004-06,6.29760,
2004-07,6.29760,
2004-08,6.29980,
2004-09,6.29950,
2004-10,6.29980,
2004-11,6.29990,
2004-12,6.29920,
2005-01,6.29990,
2005-02,6.29990,
2005-03,6.29990,
2005-04,6.29990,
2005-05,6.29990,
2005-06,6.29950,
2005-07,6.29950,
2005-08,6.29990,
2005-09,6.29990,
2005-10,6.27890,
2005-11,6.32660,
2005-12,6.31030,
2006-01,6.30600,
2006-02,6.30980,
2006-03,6.35080,
2006-04,6.33290,
2006-05,6.30850,
2006-06,6.34150,
2006-07,6.29530,
2006-08,6.28540,
2006-09,6.29780,
2006-10,6.30730,
2006-11,6.32120,
2006-12,6.31190,
2007-01,6.34190,
2007-02,6.33260,
2007-03,6.34230,
2007-04,6.33220,
