"",BBFB1.M.Y.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:10,
1991-01,6.55,
1991-02,6.66,
1991-03,5.87,
1991-04,6.45,
1991-05,6.83,
1991-06,5.83,
1991-07,6.54,
1991-08,6.89,
1991-09,5.96,
1991-10,6.65,
1991-11,7.10,
1991-12,6.15,
1992-01,7.29,
1992-02,7.32,
1992-03,6.42,
1992-04,7.18,
1992-05,7.23,
1992-06,6.64,
1992-07,7.30,
1992-08,7.27,
1992-09,6.51,
1992-10,7.69,
1992-11,7.15,
1992-12,6.80,
1993-01,7.34,
1993-02,7.36,
1993-03,6.62,
1993-04,7.66,
1993-05,7.22,
1993-06,6.95,
1993-07,7.69,
1993-08,7.30,
1993-09,6.96,
1993-10,7.49,
1993-11,7.63,
1993-12,6.80,
1994-01,7.50,
1994-02,7.76,
1994-03,7.58,
1994-04,7.90,
1994-05,7.74,
1994-06,7.40,
1994-07,7.85,
1994-08,7.93,
1994-09,7.74,
1994-10,7.84,
1994-11,7.87,
1994-12,7.46,
1995-01,8.20,
1995-02,8.26,
1995-03,8.31,
1995-04,7.86,
1995-05,8.20,
1995-06,7.84,
1995-07,8.33,
1995-08,8.15,
1995-09,7.94,
1995-10,8.21,
1995-11,8.42,
1995-12,7.93,
1996-01,8.37,
1996-02,8.40,
1996-03,8.23,
1996-04,8.41,
1996-05,8.53,
1996-06,8.49,
1996-07,8.54,
1996-08,8.77,
1996-09,8.52,
1996-10,8.57,
1996-11,9.00,
1996-12,9.03,
1997-01,9.72,
1997-02,9.40,
1997-03,8.83,
1997-04,9.34,
1997-05,10.40,
1997-06,8.94,
1997-07,9.63,
1997-08,10.01,
1997-09,9.21,
1997-10,10.16,
1997-11,9.84,
1997-12,8.93,
1998-01,9.90,
1998-02,9.75,
1998-03,9.66,
1998-04,10.05,
1998-05,10.36,
1998-06,9.69,
1998-07,10.16,
1998-08,10.54,
1998-09,10.01,
1998-10,10.25,
1998-11,9.95,
1998-12,9.73,
1999-01,10.21,
1999-02,10.45,
1999-03,10.06,
1999-04,10.82,
1999-05,10.57,
1999-06,11.22,
1999-07,11.01,
1999-08,10.91,
1999-09,11.25,
1999-10,11.34,
1999-11,12.22,
1999-12,11.30,
2000-01,11.27,
2000-02,11.96,
2000-03,12.03,
2000-04,12.04,
2000-05,12.30,
2000-06,12.34,
2000-07,12.04,
2000-08,12.22,
2000-09,12.83,
2000-10,13.07,
2000-11,13.05,
2000-12,13.13,
2001-01,13.25,
2001-02,13.06,
2001-03,13.27,
2001-04,13.32,
2001-05,13.16,
2001-06,13.27,
2001-07,13.75,
2001-08,13.29,
2001-09,12.73,
2001-10,12.97,
2001-11,13.34,
2001-12,12.66,
2002-01,12.50,
2002-02,12.73,
2002-03,13.85,
2002-04,12.85,
2002-05,13.29,
2002-06,12.41,
2002-07,12.77,
2002-08,13.06,
2002-09,12.59,
2002-10,12.40,
2002-11,12.24,
2002-12,12.97,
2003-01,13.37,
2003-02,12.96,
2003-03,12.76,
2003-04,13.14,
2003-05,12.13,
2003-06,12.29,
2003-07,12.56,
2003-08,12.59,
2003-09,12.85,
2003-10,12.70,
2003-11,12.65,
2003-12,13.24,
2004-01,12.87,
2004-02,13.83,
2004-03,12.87,
2004-04,13.27,
2004-05,13.40,
2004-06,13.31,
2004-07,12.39,
2004-08,12.92,
2004-09,13.14,
2004-10,12.71,
2004-11,13.81,
2004-12,12.99,
2005-01,13.67,
2005-02,13.62,
2005-03,13.75,
2005-04,13.73,
2005-05,13.90,
2005-06,13.83,
2005-07,14.08,
2005-08,14.13,
2005-09,14.11,
2005-10,14.60,
2005-11,14.26,
2005-12,15.03,
2006-01,14.86,
2006-02,14.73,
2006-03,14.98,
2006-04,14.59,
2006-05,14.59,
2006-06,14.44,
2006-07,14.73,
2006-08,14.40,
2006-09,15.44,
2006-10,14.98,
2006-11,15.22,
2006-12,16.26,
2007-01,14.93,
2007-02,15.91,
2007-03,15.31,
2007-04,15.58,
2007-05,15.58,
2007-06,15.31,
2007-07,16.00,
2007-08,16.45,
2007-09,15.65,
2007-10,16.12,
2007-11,16.28,
2007-12,16.42,
2008-01,15.84,
2008-02,16.48,
2008-03,16.28,
2008-04,16.61,
2008-05,17.08,
2008-06,15.88,
2008-07,16.48,
2008-08,16.17,
2008-09,16.60,
2008-10,16.66,
2008-11,16.10,
2008-12,15.47,
2009-01,15.68,
2009-02,15.03,
2009-03,14.26,
2009-04,14.96,
2009-05,14.77,
2009-06,15.20,
2009-07,15.24,
2009-08,14.34,
2009-09,14.78,
2009-10,14.93,
2009-11,14.64,
2009-12,14.79,
2010-01,15.20,
2010-02,15.52,
2010-03,15.86,
2010-04,16.31,
2010-05,16.66,
2010-06,17.54,
2010-07,16.65,
2010-08,16.76,
2010-09,16.76,
2010-10,16.43,
2010-11,17.49,
2010-12,17.33,
2011-01,16.98,
2011-02,17.25,
2011-03,17.09,
2011-04,17.07,
2011-05,17.37,
2011-06,17.76,
2011-07,17.38,
2011-08,17.78,
2011-09,18.07,
2011-10,18.25,
2011-11,18.28,
2011-12,17.74,
2012-01,18.09,
2012-02,18.24,
2012-03,18.59,
2012-04,17.86,
2012-05,19.01,
2012-06,18.54,
2012-07,18.52,
2012-08,19.26,
2012-09,19.18,
2012-10,18.88,
2012-11,18.79,
2012-12,18.87,
2013-01,19.99,
2013-02,20.14,
2013-03,20.55,
2013-04,19.88,
2013-05,20.62,
2013-06,20.28,
2013-07,20.39,
2013-08,19.99,
2013-09,20.66,
2013-10,20.73,
2013-11,20.59,
2013-12,20.71,
2014-01,19.75,
2014-02,19.79,Provisional value
2014-03,19.89,Provisional value
2014-04,19.96,Provisional value
2014-05,19.92,Provisional value
2014-06,20.90,Provisional value
2014-07,20.40,Provisional value
2014-08,21.08,Provisional value
2014-09,21.14,
2014-10,21.60,
2014-11,21.39,
2014-12,21.43,Provisional value
