"",BBK01.OEHL07U,BBK01.OEHL07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:13,
2002-01,6.907,
2002-04,6.793,
2002-07,6.762,
2002-10,6.958,
2003-01,7.011,
2003-04,7.000,
2003-07,7.064,
2003-10,7.321,
2004-01,7.399,
2004-04,7.432,
2004-07,7.443,
2004-10,7.662,
2005-01,7.705,
2005-04,7.690,
2005-07,7.672,
2005-10,7.828,
2006-01,7.877,
2006-04,7.816,
2006-07,7.737,
2006-10,7.797,
2007-01,7.705,
2007-04,7.602,
2007-07,7.547,
2007-10,7.656,
2008-01,7.508,
2008-04,7.351,
2008-07,7.225,
2008-10,7.374,
2009-01,7.439,
2009-04,7.484,
2009-07,7.541,
2009-10,7.893,
2010-01,8.041,
2010-04,8.093,
2010-07,8.126,
2010-10,8.245,
2011-01,8.268,
2011-04,8.225,
2011-07,8.206,
2011-10,8.289,
2012-01,8.285,
2012-04,8.257,
2012-07,8.242,
2012-10,8.371,
2013-01,8.426,
2013-04,8.409,
2013-07,8.410,
2013-10,8.472,
2014-01,8.493,
2014-04,8.473,
2014-07,8.475,
