"",BBK01.OEAA25T,BBK01.OEAA25T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:26,
2002-01,4.099,
2002-04,4.106,
2002-07,4.097,
2002-10,4.091,
2003-01,4.016,
2003-04,4.004,
2003-07,3.970,
2003-10,3.935,
2004-01,3.916,
2004-04,3.904,
2004-07,3.857,
2004-10,3.829,
2005-01,3.794,
2005-04,3.756,
2005-07,3.717,
2005-10,3.666,
2006-01,3.635,
2006-04,3.616,
2006-07,3.579,
2006-10,3.550,
2007-01,3.505,
2007-04,3.505,
2007-07,3.490,
2007-10,3.475,
2008-01,3.433,
2008-04,3.431,
2008-07,3.403,
2008-10,3.381,
2009-01,3.415,
2009-04,3.528,
2009-07,3.511,
2009-10,3.508,
2010-01,3.519,
2010-04,3.527,
2010-07,3.611,
2010-10,3.521,
2011-01,3.518,
2011-04,3.534,
2011-07,3.530,
2011-10,3.552,
2012-01,3.541,
2012-04,3.766,
2012-07,3.777,
2012-10,3.807,
2013-01,3.811,
2013-04,3.802,
2013-07,3.817,
2013-10,3.791,
2014-01,3.808,
2014-04,3.819,
2014-07,3.844,
