"",BBK01.OEAF03J,BBK01.OEAF03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:45,
2002-01,5.998,
2002-04,6.038,
2002-07,5.629,
2002-10,5.662,
2003-01,5.684,
2003-04,5.714,
2003-07,5.814,
2003-10,5.885,
2004-01,5.854,
2004-04,5.881,
2004-07,5.903,
2004-10,5.940,
2005-01,6.490,
2005-04,6.527,
2005-07,6.632,
2005-10,6.665,
2006-01,6.666,
2006-04,6.615,
2006-07,6.614,
2006-10,6.603,
2007-01,6.535,
2007-04,6.529,
2007-07,6.481,
2007-10,6.461,
2008-01,6.395,
2008-04,6.415,
2008-07,6.305,
2008-10,6.298,
2009-01,6.248,
2009-04,6.226,
2009-07,5.722,
2009-10,5.507,
2010-01,2.732,
2010-04,5.622,
2010-07,5.633,
2010-10,5.626,
2011-01,5.573,
2011-04,5.410,
2011-07,5.587,
2011-10,5.128,
2012-01,5.573,
2012-04,5.652,
2012-07,5.669,
2012-10,5.809,
2013-01,5.815,
2013-04,5.936,
2013-07,5.985,
2013-10,6.017,
2014-01,5.802,
2014-04,5.866,
2014-07,5.677,
