"",BBK01.CEBP0C,BBK01.CEBP0C_FLAGS
"",Time deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:07,
1991-01,125.5,
1991-04,128.9,
1991-07,131.0,
1991-10,132.9,
1992-01,135.3,
1992-04,136.9,
1992-07,138.0,
1992-10,128.9,
1993-01,130.5,
1993-04,134.1,
1993-07,134.1,
1993-10,138.2,
1994-01,136.6,
1994-04,136.9,
1994-07,136.3,
1994-10,135.7,
1995-01,132.9,
1995-04,132.9,
1995-07,132.3,
1995-10,134.8,
1996-01,132.8,
1996-04,132.5,
1996-07,129.6,
1996-10,132.0,
1997-01,133.0,
1997-04,132.2,
1997-07,132.4,
1997-10,134.1,
1998-01,133.9,
1998-04,138.0,
1998-07,137.7,
1998-10,136.3,
1999-01,135.6,
1999-04,137.8,
1999-07,136.3,
1999-10,146.0,
2000-01,140.9,
2000-04,153.4,
2000-07,187.7,
2000-10,189.7,
2001-01,155.4,
2001-04,153.8,
2001-07,150.9,
2001-10,149.5,
2002-01,142.5,
2002-04,142.5,
2002-07,135.2,
2002-10,133.5,
2003-01,132.3,
2003-04,136.0,
2003-07,131.2,
2003-10,131.9,
2004-01,128.3,
2004-04,130.5,
2004-07,127.8,
2004-10,126.5,
2005-01,117.6,
2005-04,120.2,
2005-07,120.1,
2005-10,128.3,
2006-01,121.1,
2006-04,144.7,
2006-07,153.9,
2006-10,154.9,
2007-01,145.1,
2007-04,179.6,
2007-07,153.8,
2007-10,166.3,
2008-01,160.3,
2008-04,179.2,
2008-07,168.3,
2008-10,161.7,
2009-01,141.8,
2009-04,160.1,
2009-07,128.8,
2009-10,127.9,
2010-01,129.4,
2010-04,128.5,
2010-07,135.2,
2010-10,169.1,
2011-01,164.5,
2011-04,182.0,
2011-07,186.3,
2011-10,196.8,
2012-01,198.4,
2012-04,232.3,
2012-07,229.7,
2012-10,206.3,
2013-01,197.5,
2013-04,197.5,
2013-07,193.7,
2013-10,199.5,
2014-01,202.8,
