"",BBK01.OEAH19I,BBK01.OEAH19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:26,
2002-01,30.341,
2002-04,30.114,
2002-07,30.051,
2002-10,29.509,
2003-01,29.396,
2003-04,28.963,
2003-07,28.568,
2003-10,30.192,
2004-01,30.846,
2004-04,30.802,
2004-07,31.455,
2004-10,31.723,
2005-01,33.434,
2005-04,31.911,
2005-07,32.510,
2005-10,32.820,
2006-01,33.970,
2006-04,35.490,
2006-07,36.284,
2006-10,36.331,
2007-01,36.813,
2007-04,37.889,
2007-07,38.519,
2007-10,38.290,
2008-01,38.176,
2008-04,38.892,
2008-07,39.522,
2008-10,39.530,
2009-01,39.975,
2009-04,39.899,
2009-07,39.974,
2009-10,39.616,
2010-01,39.019,
2010-04,38.860,
2010-07,39.261,
2010-10,42.255,
2011-01,43.269,
2011-04,44.435,
2011-07,44.511,
2011-10,45.088,
2012-01,45.073,
2012-04,45.223,
2012-07,45.173,
2012-10,44.769,
2013-01,44.489,
2013-04,44.363,
2013-07,43.236,
2013-10,42.799,
2014-01,43.835,
2014-04,43.488,
2014-07,42.982,
