"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:53,
1991-01,0.576,
1991-04,-0.463,
1991-07,-0.018,
1991-10,-0.290,
1992-01,0.242,
1992-04,0.028,
1992-07,1.118,
1992-10,2.236,
1993-01,14.324,
1993-04,-66.601,
1993-07,12.894,
1993-10,-42.023,
1994-01,-46.697,
1994-04,-60.332,
1994-07,20.475,
1994-10,-17.567,
1995-01,-3.055,
1995-04,-37.432,
1995-07,-23.719,
1995-10,-6.562,
1996-01,115.315,
1996-04,10.078,
1996-07,-100.974,
1996-10,-64.849,
1997-01,-14.423,
1997-04,35.302,
1997-07,38.260,
1997-10,-274.614,
1998-01,21.119,
1998-04,-55.459,
1998-07,-90.661,
1998-10,3.698,
1999-01,49.090,
1999-04,9.878,
1999-07,28.035,
1999-10,-46.692,
2000-01,132.752,
2000-04,100.321,
2000-07,-72.087,
2000-10,266.031,
2001-01,-184.656,
2001-04,-560.896,
2001-07,47.354,
2001-10,-132.004,
2002-01,113.507,
2002-04,-55.064,
2002-07,-616.191,
2002-10,-40.378,
2003-01,-23.571,
2003-04,-5.749,
2003-07,-76.569,
2003-10,226.468,
2004-01,-1.611,
2004-04,-47.591,
2004-07,-123.498,
2004-10,146.153,
2005-01,91.065,
2005-04,-128.274,
2005-07,88.492,
2005-10,374.059,
2006-01,312.065,
2006-04,-86.156,
2006-07,-142.527,
2006-10,133.119,
2007-01,172.658,
2007-04,-414.950,
2007-07,78.533,
2007-10,-77.296,
2008-01,-166.848,
2008-04,-339.702,
2008-07,236.826,
2008-10,-112.309,
2009-01,365.734,
2009-04,237.250,
2009-07,-160.964,
2009-10,407.979,
2010-01,376.876,
2010-04,82.747,
2010-07,157.452,
2010-10,366.018,
2011-01,569.418,
2011-04,3050.745,
2011-07,-728.826,
2011-10,483.172,
2012-01,349.059,
2012-04,-76.541,
2012-07,224.976,
2012-10,39.497,
2013-01,300.336,
2013-04,379.134,
2013-07,150.889,
2013-10,500.307,
2014-01,-75.251,Provisional value
2014-04,173.776,Provisional value
2014-07,-565.221,Provisional value
2014-10,-153.133,Provisional value
