"",BBK01.OEHJ03R,BBK01.OEHJ03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:29,
2002-01,0.156,
2002-04,0.152,
2002-07,0.165,
2002-10,0.173,
2003-01,0.164,
2003-04,0.161,
2003-07,0.164,
2003-10,0.168,
2004-01,0.156,
2004-04,0.154,
2004-07,0.148,
2004-10,0.152,
2005-01,0.143,
2005-04,0.133,
2005-07,0.131,
2005-10,0.121,
2006-01,0.129,
2006-04,0.138,
2006-07,0.138,
2006-10,0.120,
2007-01,0.118,
2007-04,0.125,
2007-07,0.132,
2007-10,0.134,
2008-01,0.137,
2008-04,0.140,
2008-07,0.143,
2008-10,0.157,
2009-01,0.131,
2009-04,0.118,
2009-07,0.124,
2009-10,0.119,
2010-01,0.117,
2010-04,0.113,
2010-07,0.125,
2010-10,0.114,
2011-01,0.124,
2011-04,0.139,
2011-07,0.142,
2011-10,0.127,
2012-01,0.098,
2012-04,0.093,
2012-07,0.096,
2012-10,0.082,
2013-01,0.083,
2013-04,0.076,
2013-07,0.071,
2013-10,0.070,
2014-01,0.070,
2014-04,0.063,
2014-07,0.057,
