"",BBK01.OEAA13S,BBK01.OEAA13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:59,
2002-01,21.232,
2002-04,21.197,
2002-07,21.201,
2002-10,21.318,
2003-01,21.167,
2003-04,21.247,
2003-07,21.345,
2003-10,21.639,
2004-01,21.403,
2004-04,21.419,
2004-07,21.468,
2004-10,20.039,
2005-01,21.048,
2005-04,21.205,
2005-07,21.157,
2005-10,21.088,
2006-01,21.046,
2006-04,21.174,
2006-07,21.336,
2006-10,21.429,
2007-01,21.548,
2007-04,21.699,
2007-07,21.912,
2007-10,21.936,
2008-01,21.923,
2008-04,22.226,
2008-07,22.584,
2008-10,22.662,
2009-01,22.694,
2009-04,23.659,
2009-07,23.922,
2009-10,24.269,
2010-01,24.437,
2010-04,24.993,
2010-07,25.347,
2010-10,25.642,
2011-01,26.028,
2011-04,26.673,
2011-07,27.117,
2011-10,27.861,
2012-01,28.079,
2012-04,28.876,
2012-07,29.308,
2012-10,29.555,
2013-01,29.690,
2013-04,29.854,
2013-07,30.132,
2013-10,30.293,
2014-01,30.309,
2014-04,30.310,
2014-07,30.698,
