"",BBFN1.M.DE.N.1.L.SG.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:10,
1975-12,0.004,
1976-01,0.001,
1976-02,0.001,
1976-03,0.002,
1976-04,0.001,
1976-05,0.001,
1976-06,0.001,
1976-07,0.002,
1976-08,0.001,
1976-09,0.003,
1976-10,0.003,
1976-11,0.003,
1976-12,0.002,
1977-01,0.003,
1977-02,0.002,
1977-03,-,Nothing exists
1977-04,-,Nothing exists
1977-05,0.001,
1977-06,0.001,
1977-07,0.001,
1977-08,0.001,
1977-09,0.001,
1977-10,0.001,
1977-11,0.001,
1977-12,0.004,
1978-01,0.004,
1978-02,0.001,
1978-03,0.001,
1978-04,0.002,
1978-05,0.002,
1978-06,0.002,
1978-07,0.002,
1978-08,0.002,
1978-09,0.002,
1978-10,0.002,
1978-11,0.002,
1978-12,0.001,
1979-01,0.001,
1979-02,0.001,
1979-03,0.001,
1979-04,0.003,
1979-05,0.005,
1979-06,0.010,
1979-07,0.010,
1979-08,0.010,
1979-09,0.013,
1979-10,0.011,
1979-11,0.006,
1979-12,0.006,
1980-01,0.001,
1980-02,0.002,
1980-03,0.004,
1980-04,0.003,
1980-05,0.007,
1980-06,0.005,
1980-07,0.005,
1980-08,0.061,
1980-09,0.061,
1980-10,0.059,
1980-11,0.156,
1980-12,0.156,
1981-01,0.059,
1981-02,0.059,
1981-03,0.060,
1981-04,0.060,
1981-05,0.060,
1981-06,0.096,
1981-07,0.141,
1981-08,0.172,
1981-09,0.179,
1981-10,0.174,
1981-11,0.176,
1981-12,0.183,
1982-01,0.180,
1982-02,0.171,
1982-03,0.171,
1982-04,0.174,
1982-05,0.174,
1982-06,0.172,
1982-07,0.172,
1982-08,0.173,
1982-09,0.171,
1982-10,0.172,
1982-11,0.169,
1982-12,0.168,
1983-01,0.182,
1983-02,0.183,
1983-03,0.182,
1983-04,0.182,
1983-05,0.179,
1983-06,0.183,
1983-07,0.170,
1983-08,0.178,
1983-09,0.170,
1983-10,0.173,
1983-11,0.173,
1983-12,0.175,
1984-01,0.174,
1984-02,0.173,
1984-03,0.174,
1984-04,0.170,
1984-05,0.176,
1984-06,0.180,
1984-07,0.178,
1984-08,0.166,
1984-09,0.167,
1984-10,0.165,
1984-11,0.165,
1984-12,0.191,
1985-01,0.166,
1985-02,0.191,
1985-03,0.191,
1985-04,0.187,
1985-05,0.196,
1985-06,0.208,
1985-07,0.209,
1985-08,0.187,
1985-09,0.184,
1985-10,0.171,
1985-11,0.168,
1985-12,0.164,
1986-01,0.155,
1986-02,0.178,
1986-03,0.169,
1986-04,0.157,
1986-05,0.008,
1986-06,0.010,
1986-07,0.016,
1986-08,0.016,
1986-09,0.023,
1986-10,0.018,
1986-11,0.016,
1986-12,0.014,
1987-01,0.012,
1987-02,0.011,
1987-03,0.016,
1987-04,0.018,
1987-05,0.016,
1987-06,0.020,
1987-07,0.018,
1987-08,0.019,
1987-09,0.020,
1987-10,0.016,
1987-11,0.019,
1987-12,0.019,
1988-01,0.020,
1988-02,0.020,
1988-03,0.117,
1988-04,0.021,
1988-05,0.020,
1988-06,0.019,
1988-07,0.019,
1988-08,0.011,
1988-09,0.012,
1988-10,0.011,
1988-11,0.027,
1988-12,0.042,
1989-01,.,No value available
1989-02,.,No value available
1989-03,.,No value available
1989-04,.,No value available
1989-05,.,No value available
1989-06,.,No value available
1989-07,.,No value available
1989-08,.,No value available
1989-09,.,No value available
1989-10,.,No value available
1989-11,0.012,
1989-12,0.021,
1990-01,0.053,
1990-02,0.106,
1990-03,0.103,
1990-04,0.093,
1990-05,0.094,
1990-06,0.090,
1990-07,0.102,
1990-08,0.095,
1990-09,0.127,
1990-10,0.141,
1990-11,0.140,
1990-12,0.130,
1991-01,0.128,
1991-02,0.117,
1991-03,0.112,
1991-04,0.098,
1991-05,0.110,
1991-06,0.118,
1991-07,0.119,
1991-08,0.095,
1991-09,0.062,
1991-10,0.058,
1991-11,0.067,
1991-12,0.052,
1992-01,0.031,
1992-02,0.025,
1992-03,0.015,
1992-04,0.046,
1992-05,0.046,
1992-06,0.051,
1992-07,0.060,
1992-08,0.051,
1992-09,0.022,
1992-10,.,No value available
1992-11,.,No value available
1992-12,0.018,
1993-01,0.024,
1993-02,0.016,
1993-03,0.018,
1993-04,0.021,
1993-05,0.012,
1993-06,0.013,
1993-07,0.021,
1993-08,0.019,
1993-09,0.024,
1993-10,0.033,
1993-11,0.034,
1993-12,0.027,
1994-01,0.027,
1994-02,0.028,
1994-03,0.033,
1994-04,0.053,
1994-05,0.043,
1994-06,0.040,
1994-07,0.032,
1994-08,0.043,
1994-09,0.046,
1994-10,0.047,
1994-11,0.050,
1994-12,0.049,
1995-01,0.050,
1995-02,0.034,
1995-03,0.074,
1995-04,0.058,
1995-05,0.046,
1995-06,0.039,
1995-07,0.048,
1995-08,0.029,
1995-09,0.032,
1995-10,0.030,
1995-11,0.042,
1995-12,0.060,
1996-01,0.040,
1996-02,0.037,
1996-03,0.040,
1996-04,0.069,
1996-05,0.058,
1996-06,0.056,
1996-07,0.052,
1996-08,0.047,
1996-09,0.083,
1996-10,0.092,
1996-11,0.083,
1996-12,0.110,
1997-01,0.114,
1997-02,0.111,
1997-03,0.115,
1997-04,0.135,
1997-05,0.086,
1997-06,0.106,
1997-07,0.129,
1997-08,0.137,
1997-09,0.111,
1997-10,0.116,
1997-11,0.143,
1997-12,0.101,
1998-01,0.127,
1998-02,0.151,
1998-03,0.174,
1998-04,0.179,
1998-05,0.176,
1998-06,0.173,
1998-07,0.172,
1998-08,0.167,
1998-09,0.157,
1998-10,0.176,
1998-11,0.179,
1998-12,0.217,
1999-01,0.197,
1999-02,0.235,
1999-03,0.291,
1999-04,0.294,
1999-05,0.313,
1999-06,0.295,
1999-07,0.341,
1999-08,0.379,
1999-09,0.306,
1999-10,0.294,
1999-11,0.300,
1999-12,0.298,
2000-01,0.290,
2000-02,0.327,
2000-03,0.350,
2000-04,0.344,
2000-05,0.310,
2000-06,0.381,
2000-07,0.476,
2000-08,0.435,
2000-09,0.505,
2000-10,0.457,
2000-11,0.518,
2000-12,0.471,
2001-01,0.505,
2001-02,0.559,
2001-03,0.898,
2001-04,1.124,
2001-05,1.318,
2001-06,1.498,
2001-07,1.566,
2001-08,1.644,
2001-09,1.637,
2001-10,1.681,
2001-11,1.746,
2001-12,1.553,
2002-01,1.546,
2002-02,1.548,
2002-03,1.463,
2002-04,1.388,
2002-05,1.381,
2002-06,1.413,
2002-07,1.498,
2002-08,1.479,
2002-09,1.523,
2002-10,1.284,
2002-11,1.299,
2002-12,1.382,
2003-01,1.671,
2003-02,1.649,
2003-03,1.705,
2003-04,1.640,
2003-05,1.666,
2003-06,1.619,
2003-07,1.593,
2003-08,1.630,
2003-09,1.363,
2003-10,1.329,
2003-11,1.471,
2003-12,1.334,
2004-01,1.351,
2004-02,1.313,
2004-03,1.433,
2004-04,1.396,
2004-05,1.366,
2004-06,1.385,
2004-07,1.323,
2004-08,1.405,
2004-09,1.322,
2004-10,1.320,
2004-11,1.308,
2004-12,1.369,
2005-01,1.210,
2005-02,1.001,
2005-03,1.028,
2005-04,1.079,
2005-05,1.081,
2005-06,1.118,
2005-07,1.068,
2005-08,1.083,
2005-09,1.096,
2005-10,1.036,
2005-11,1.211,
2005-12,1.325,
2006-01,1.230,
2006-02,1.302,
2006-03,1.317,
2006-04,1.298,
2006-05,1.171,
2006-06,1.259,
2006-07,1.210,
2006-08,1.236,
2006-09,1.324,
2006-10,1.451,
2006-11,1.448,
2006-12,1.393,
2007-01,1.426,
2007-02,1.373,
2007-03,1.490,
2007-04,1.229,
2007-05,1.268,
2007-06,1.382,
2007-07,1.438,
2007-08,1.551,
2007-09,1.360,
2007-10,1.446,
2007-11,1.421,
2007-12,1.329,
2008-01,1.391,
2008-02,1.394,
2008-03,1.353,
2008-04,1.295,
2008-05,1.343,
2008-06,1.342,
2008-07,1.381,
2008-08,1.479,
2008-09,1.513,
2008-10,1.542,
2008-11,1.546,
2008-12,1.479,
2009-01,1.530,
2009-02,1.534,
2009-03,1.477,
2009-04,1.572,
2009-05,1.515,
2009-06,1.411,
2009-07,1.423,
2009-08,1.265,
2009-09,1.343,
2009-10,1.369,
2009-11,1.472,
2009-12,1.494,
2010-01,1.511,
2010-02,1.462,
2010-03,1.515,
2010-04,1.490,
2010-05,1.459,
2010-06,1.581,
2010-07,1.513,
2010-08,1.473,
2010-09,1.474,
2010-10,1.539,
2010-11,1.634,
2010-12,1.548,
2011-01,1.710,
2011-02,1.663,
2011-03,1.787,
2011-04,1.740,
2011-05,1.552,
2011-06,1.573,
2011-07,1.628,
2011-08,1.584,
2011-09,1.564,
2011-10,1.490,
2011-11,1.497,
2011-12,1.545,
2012-01,1.484,
2012-02,1.625,
2012-03,1.575,
2012-04,1.442,
2012-05,1.436,
2012-06,1.543,
2012-07,1.477,
2012-08,1.410,
2012-09,1.430,
2012-10,1.445,
2012-11,1.465,
2012-12,1.531,
2013-01,1.616,
2013-02,1.516,
2013-03,1.548,
2013-04,1.545,
2013-05,1.558,
2013-06,1.379,
2013-07,1.512,
2013-08,1.563,
2013-09,1.642,
2013-10,1.488,
2013-11,1.322,
2013-12,1.438,
2014-01,1.338,
2014-02,1.336,
2014-03,1.192,
2014-04,1.180,
2014-05,1.151,
2014-06,1.154,
2014-07,1.131,
2014-08,1.156,
2014-09,1.208,
2014-10,1.376,
2014-11,1.294,
2014-12,1.397,
